name,comment,sentiment_type,polarity,subjectivity
Mohd Saqib,Please continue python series beginner advanced level,Positive,0.4,0.6
Mohammed Hamzah Ansari,Shraddha Di please make well structured course Python likewise C Java We solely dependent Apna College programming language DSA courses,Positive,0.0,0.0
Nandini Dhoke,It genuinely understandable other tutorials Thank,Positive,0.1375,0.4375
Ronit Mukherjee,Amazing tutorial skipped directly understand While Loops I admit explained really well Please make full series beginners to advanced THANK YOU IN ADVANCE,Positive,0.32999999999999996,0.53
Gajanan Shreepad,You guys smashed never watched video related learning 1 hour explained such way I failed pause video between is really easy understand I hope will get advanced level like Thank you so much,Positive,0.0888888888888889,0.47222222222222227
Gaurav Singh Janghel,Yes want full Machine Learning course using Python soon,Positive,0.35,0.55
Lawlit 👒,11712 Course Complete thanks this helpful course learn many new things this course,Positive,0.2340909090909091,0.38863636363636367
Praful Domde,Thank u much making series hope u continue series till advanced And way ur teaching damn good have seen many videos i find ur video useful informative,Positive,0.42000000000000004,0.38
SK SHARMA,Shraddha was pleasure listen you You very good teacher well very knowledgeable attended lecture the first time think understood 90 it Keep up My best wishes you,Positive,0.59,0.42833333333333334
Dalip singh,Hi Apna college Amazing content material work guys doing please make full course series python would like thank Shradha her amazing teaching skills got inspired you learning code,Positive,0.5166666666666667,0.7833333333333333
Rohan Warghade,Please didi continue python series beginner advanced level cover everything awesome quality content like team always,Positive,0.7,0.8
6208 Banavath Pavan,Its humble have good lecturer like You made too easy understand Thank for thishope continue series,Positive,0.3111111111111111,0.6111111111111112
Granide Gamer,Thanks lot didi youre best teacher have learned java your valuable free course Thank,Positive,0.5333333333333333,0.43333333333333335
Abhishek Vankar,think video specially made day exam learned alot 1 hour Thanks Aman bhaiya,Positive,0.2785714285714286,0.3857142857142857
Mangesh Ahirrao,This the best tutorial Ive watched Python Short concise Thanks lot,Positive,0.325,0.35
Sanat Runwal,Really great lecture have been productive programming due great effort taken interaction felt like have learnt somethingGreat workkeep up,Positive,0.4916666666666667,0.625
Hargun Rana,mini project u just use the eval a string eval22,Neutral,0.0,0.0
Yash Rathod,Hii sharaddha di giving awesome information topic expecting from on this topic like lamba function def function I want know carreer path data scientist data analyst make video detail everyone get benefit of,Positive,1.0,1.0
Somesh,Awesome detail explanation Looking forward be continued python series,Positive,1.0,1.0
sunny,Thank so much making tutorial basics Python clear only of guys,Positive,0.10000000000000002,0.5277777777777778
FACTORIOUS WORLD,Pura lecture itna dhyaan se padha hai jitnna toh college jakar bhi nahi padta kyuki unko padhate hee nahi aata Thankyou Ho sake toh python AI KE LIYE BHI VIDEO BNA DENA PLZ,Positive,0.0,0.0
Susmita Debnath,please cover topics python like oops csv files exception handling etc Your way explanation easy point It a humble request to continue other topics cover whole concept python,Positive,0.07708333333333334,0.5020833333333333
Just Moved On,Thank so much starting amazing series python am waiting this course a long time,Positive,0.18333333333333335,0.4666666666666666
