name,comment,sentiment_type,polarity,subjectivity
Monte Monkey,The hype this movie truly once a lifetime experience UPDATE NO WAY HOME IS ABOUT TO BE THE SECOND ONCE IN A LIFETIME MOVIE EXPERIENCE,Neutral,0.0,0.0
Mr. Sus,Endgame so legendary when watched movie will still come back watch trailer,Neutral,0.5,0.5
dasfraan,If son rewatching MCU movies the future Ill let wait one year Infinity War and Endgame that can feel the pain sufferd,Negative,-0.25,0.5625
Ritesh K Mondal,really miss 2019 The hype around movie All emotional goodbyes So much changed,Negative,0.13333333333333333,0.35000000000000003
Vauxxey,Endgame one those movies you had be in theaters watching No experience better watching on premiere night Truly masterpiece,Positive,0.5,0.5
Swirling,Thank Marvel Thank You putting 10 years worth effort this Its 2 years the MCU evolved another level,Positive,0.3,0.1
Gucci Ponk,God seems like thousand years ago Feels like thousand years since hype this movie Bring back,Positive,0.0,0.0
you're such a shame,Its 2 years going 3 years And yet movie trailer still gives chills,Neutral,0.0,0.0
Jane xx,Watching premiere a Marvel movie cinema surrounded true Marvel Fans feeling same emotion the same hype That hits different,Positive,0.0875,0.375
MortalZykoGaming,Whatever takes This line gives goosebumps always,Neutral,0.0,0.0
why,This trailer released day 3 years ago was watching this before going my exams came back home again watched several times Then searched the trailer breakdown Those the days,Neutral,0.0,0.0
Dylan Smith,3 years later is still one the best Marvel trailers all time Take back the hype this film,Positive,0.3333333333333333,0.09999999999999999
Crossseye SMITE,You couldnt accept end an era And did bring Back the trailers,Negative,0.0,0.0
Apurv Rai,remember this movie released were seats available any theatres an entire week had wait long watch so excited see that I jumped I got ticket,Positive,0.18125000000000002,0.54375
JS_Gaming,This movie came in final year high school I used as motivation work hard pass passing 12th grade like defeating Thanos This was an awesome movie,Positive,0.21708333333333332,0.7704166666666666
Captain_Commenter,The world changed none us go back That hits different knowing one go back experience feels of seeing for first time,Neutral,0.0625,0.23333333333333334
trolliar,Once i comeback these trailers see ultra hyped people for event Absolutely in a lifetime,Neutral,0.2,0.9
Tristan Nez,literally saw in theatres 5 times The crowd wild time cheering the fights everyone came back the portals Really enjoyed I watch films and not get bored,Positive,0.024999999999999994,0.525
Ferry PascaLz,am grateful Avengers End Game released last year this year,Positive,-0.2,0.23333333333333334
Muhammad Iqbal Aulia Aristide,just realized trailer whatever takes line said Rogers Clint Romanoff Stark been put in order who the least the painful ending the movie,Negative,-0.39999999999999997,0.6333333333333333
Vicente Lima Lemes,Watching movie its release day without ANY SPOILERS one the best experiences had my life,Positive,1.0,0.3
Chronos,even watching endgame 22 times trailer still hits hard,Negative,-0.2916666666666667,0.5416666666666666
Some guy,wish could go back Not to see for first time but general 2019 one the greatest years ever,Positive,0.325,0.4583333333333333
JACKMIESTER2.0,three years since trailer came outand every time rewatch like was first timethank for everything marvelyouve been a real part our childhood,Positive,0.225,0.31666666666666665
Josh KW2,Watching again made nostalgic proud I experienced 10 years a cinematic masterpiece cant replicated,Positive,0.275,0.775
2k without any video challenge,Its April 2022 lets see many legends watching this masterpiece,Positive,0.5,0.5
Freedom Tompkins,hard believe this almost 2 years old already,Negative,-0.09583333333333334,0.37083333333333335
juiceadanav PS4 Player,Endgame No way home always the 2 best movies the ENTIRE MCU,Positive,0.5,0.4625
Chada Siddhartha Reddy,miss THANOS much,Negative,0.2,0.2
Chris willy,Legends Tony Stark Steve Rogers,Neutral,-0.2,0.6
HelixOP,The music still gives Goosebumps about 25 years,Neutral,0.0,0.0
Captain_Commenter,Its 3 years chills this trailer shall never leave,Neutral,0.0,0.0
JasonSwavyy,wasnt movie was experience,Neutral,0.0,0.0
Everything,Watching after 3 years After seeing movie several times Bt still gives goosebumps,Neutral,0.0,0.0
Peter Parker,Because endgame every Feb Mar feels like build ups hype endgame April Take back wonderful 2019,Positive,0.5,0.5
Matsuda,This filmentire DC,Neutral,0.0,0.0
atuuu._,Bring back TONY,Neutral,0.0,0.0
Abuzar Ansari,This one never gets old,Neutral,0.1,0.2
,really miss movie much That time I watched movie theatres full people the crowd went crazy epic fights,Negative,0.05,0.45
Altair Ozuna PL Ⓐ,Realmente pico EndGame fue un viaje de emociones para m oh Dios parecen siglos llvame al 2019 quiero revivir las emociones que sent con este triler y pelcula 3,Neutral,0.0,0.0
Lakshya Saxena,Sometimes wish could watch Endgame the first time without knowing was gonna happen,Positive,0.25,0.3333333333333333
Light,still get goosebumps watching now 3 years later amazing trilogy go forever love Marvel 3000,Positive,0.3666666666666667,0.5
Dragonlive,The Whatever takes Tony Just Goose bumps,Neutral,0.0,0.0
RC4 EDIT,The trailer alone enough make cry This movie emotional epic Gonna miss old heroes,Negative,0.05,0.43749999999999994
MR. RODO,This movie worth waiting,Positive,0.3,0.1
Vauxhall,varsity hype much just like the movie was too much us,Positive,0.2,0.2
C _P,So youve watched End Game youre rewatching trailers,Neutral,-0.4,0.4
Md. Tasfiq UL Karim,Still feels like yesterday,Positive,0.0,0.0
deku nut,movie makes feel like avenger man nowadays cant feel hype like did endgame marvel movies,Positive,0.0,0.0
Kingsley Boerz,People 2030 hope find The pre 2020 time the best,Positive,1.0,0.3
Milzz,3 years later its still beautiful,Positive,0.425,0.5
Rushabh Mogarkar,Still gives chills everytime see,Neutral,0.0,0.0
onlyangel,This trailer so epic wish could back 2019 experience movie the first time the movie theater,Positive,0.11666666666666665,0.24444444444444446
Lamas,Honestly me best part when went back battle New York we see scene they assemble the first time just nostalgic,Positive,0.17727272727272725,0.4175757575757576
Becca,The hype this film like other Sometimes like come back watch trailers remember Forever sad film didnt feel like did justice some characters me But will never forget the excitement anticipation hope one day get again,Positive,-0.20833333333333334,0.4583333333333333
Taiye Young,The wait this movie unreal Im happy was able see every MCU movie cinema You kids wont get,Positive,0.65,0.8125
Hardik Dongre,This trailer inspires and dialogues deliver Feels like My Exam Thanos And gotta pass one Last Time,Positive,0.0,0.06666666666666667
First name Last name,cant wait till endgame comes,Neutral,0.0,0.0
Adam Afandi,When still remember line this trailer Im still worthy,Positive,0.3333333333333333,1.0
Original Gangster Cinderella😏,miss Tony af,Negative,0.0,0.0
Rayyan Momin,Remember hype whole world before Avengers Endgame,Neutral,0.2,0.4
Allocard,1 month then masterpiece a trailer 3 years ago really miss Im literally hyped this movie,Positive,0.2,0.2
Abdul Malik,That feeling becoming memory Thank all people Marvel giving us once a lifetime experience Whatever It Takes,Positive,0.45,0.8500000000000001
Kye Stevens,Some people move watch another trailer,Neutral,0.0,0.0
Subhankar,Why I tearing seeing trailer today I seen movie 100 times already,Neutral,0.0,0.0
Zaid Shaikh,Nowadays story every marvel movie on next level But Marvel never the,Positive,0.0,0.0
a username,Its crazy think if Endgame released year wouldnt been able see due coronavirus,Negative,-0.075,0.6333333333333333
L Saikia,Watching This Trailer Again And Again This Is The Best Movie Of All Time,Positive,1.0,0.3
ASG SAKETH,still 2 yrs later trailer gives goosebumbs,Neutral,0.0,0.0
Pakin 86,2 years later This still gives us hype deserve this crazy world we live,Negative,-0.15454545454545454,0.4666666666666666
cool,Its pure cinematic experience None the movie give such hype Pure bliss,Positive,0.10714285714285714,0.425
