name,comment,sentiment_type,polarity,subjectivity
,Trailer still gives chills,Neutral,0.0,0.0
,Life peaked this released,Neutral,0.0,0.0
Marcal Harrison,Josh Brolin Thanos best decision Marvel every made casting The presence voice gives the character ridiculous,Positive,0.33333333333333337,0.65
Dinpuia Hauhnar,This it This trailer still give goosebumps 5 years,Neutral,0.0,0.0
Faraz Ramzan,You know a trailer good it still gives goosebumps even almost 4 years,Positive,0.7,0.6000000000000001
TW Max 65,No shame all is one my favorite movies all time Definitely better Endgame imo Truly truly legendary superhero action suspense moments emotion everything fans couldve wanted,Positive,0.525,0.65
Star Wars Folklore,Dont get wrong Endgame awesome But nothing EVER beat feeling seeing Infinity War the first time,Negative,0.25,0.7444444444444445
Paolo Guerrero,Infinity War Endgame truly cinematic masterpiece Kudos MCU,Positive,0.0,0.2
🕷SPIDERMAN OFFICIAL 🕸,KGF 2 Teaser waiting cross masterpiece trailer views etc Rocky Bhai fire But Avengers cant beat KGF 2 likes,Positive,0.0,0.0
Manoj R,Who here kgf trailer,Neutral,0.0,0.0
Darth Kermit,109 always gives chills,Neutral,0.0,0.0
Pankaj Prajapati,Can We Agree That Infinity War Better Than Endgame,Positive,0.5,0.5
Yelo,No matter many times watch trailer will always feel THAT hype,Neutral,0.5,0.5
Jude Harrison,Its crazy movie came four years ago remember watching for first time It truly a landmark cinema history The way brought everyone together let us share beautiful thing something will never forget,Positive,0.16666666666666666,0.7444444444444445
Akash Dhar,Tchalas dialogue Get man shield Goosebumps level infinity Miss cap,Negative,0.0,0.0
Rhythm Gupta,KGF 2 teaser trailer breaking records YouTube,Negative,0.0,0.0
John Vincent Osorio,The hype a movie like infinity war once a life time experience movie so legendary people come rewatch almost 4 years its release still one the greatest trailer all time,Positive,1.0,1.0
Shriram Pardikar,Be ready Indians 27th March 2022 For trailerIt be breaking time viewed trailer YouTube history KGF CHAPTER2Will Beat Infinity War,Negative,0.2,0.5
Indeevar PS,Infinity War such legendary movie people come rewatch trailer 3 years its release,Negative,0.5,0.75
BreadByBread Productions,still hits hard 4 almost 5 years later Cant believe long been,Negative,-0.11388888888888889,0.3138888888888889
Gage Whitlatch,Cant believe been 4 years already The movies still masterpiece,Positive,0.0,0.0
The Alfonso Nation,Its February 2022 Still coming back Still covered chills This one the greatest film trailers history For one the greatest films Im privileged even alive live this era M C U FTW,Positive,0.44727272727272727,0.58
Julian Shipp Jr.,Seeing movie the cinema one the greatest experience ever,Positive,1.0,1.0
Yamkela Gobeni,get goosebumps literally EVERYTIME Thanos walks that portal Cant wait see Marvel in store next,Negative,0.0,0.0
Amazing Tony,The trailer amazingly thrilling The movie legendary,Positive,0.625,1.0
Mathew Fuda,Hulk only begging movie the trailer shows the final battle They probably edited in make look like was going be in the movie the whole time,Neutral,0.06666666666666667,0.7999999999999999
P.H.I.L Congure,This trailer constructed perfectly One the best trailers Ive ever seen,Positive,1.0,0.65
MovieBlizzard,There an idea To create one the best movies the last century,Positive,0.5,0.18333333333333332
Mike Mierzejwski,This trailer moment started viewing the MCU art truly something than a superhero series never imagined perfectly the stories would come together still,Negative,1.0,1.0
Paul Styke,The hype surrounding movie approached opening night so surreal me Saw trailer saw it opening night The atmosphere energy theater unlikely be matched within MCU We spent years watching heros get this point movie man were exhausted after ending mean that in the best way we no idea to expect next It a good cliffhanger,Positive,0.0796875,0.48593749999999997
Joseph C,love coming back watch trailer all years,Positive,0.25,0.3
Franco,This masterpiece never gets old,Positive,0.1,0.2
Mark DC,When still remember line this trailer Im still worthy,Positive,0.3333333333333333,1.0
Kirbo,You guys ever realize humanity fell apart this endgame 201819 a great time,Positive,0.8,0.75
Leoncoolboy 123,People keep coming back watch trailer this movie absolutely amazing,Positive,0.30000000000000004,0.45
The.Darth.Knight,When trailer came life just perfect nothing mattered except this movie,Positive,1.0,1.0
Debadrit Deb,4 years later is still masterpiece,Positive,0.0,0.0
Peter Parker,This trailer still give goosebumps 5 years,Neutral,0.0,0.0
Paul Cannizzaro,Evacuate city engage defences get man shield This scene always gave chills it carries much weight tonight,Positive,0.2,0.2
CJ Johnson,STILL one the hardest trailers Ive ever seen Still get geeked seeing even years later lol,Positive,0.4,0.35
Shay Haffenden,Would anything go back watch for first time,Neutral,0.125,0.16666666666666666
UniversoGraphy,Its unbelievable this movie released 4 years ago Those good times,Positive,0.22499999999999998,0.8
Shibli Noman Alif,One the greatest trailer cinema history Period,Positive,1.0,1.0
Aashrith xD,am in 2022 After 4 years still doesent fail gives chills,Negative,-0.5,0.29999999999999993
u bad friend,even the next 12years more Ill still here be emotional this legendary masterpiece,Positive,0.2,0.63
Barça for Life ¤,If youre still listening this masterpiece youve good taste movie Marvel never let down,Positive,0.2722222222222222,0.44444444444444453
Steve Rogers,im glad i born right generation be able witness the mcu,Positive,0.42857142857142855,0.7202380952380952
Lukas Meggs,No Way Home a blast the excitement Infinity War Endgame something else,Negative,0.0,0.0
The Player,Its like 4 years this trailer still gives goosebumps,Positive,0.0,0.0
INFINITE GAMER,4 YEARS LATER ON THIS MOVIE IS GIVES ME CHILL,Neutral,0.0,0.0
YouTube Zone,When still remember line this trailer Im still worthy,Positive,0.3333333333333333,1.0
JockeyField,avenger infinity war trailer theme more chaotic action packed almost discouraging in avengers endgame trailer theme more soft subtle hopeful,Negative,0.1733333333333334,0.39
DickCheese McGee,Honestly would trade fortune to get feeling hype i saw and Endgame the first time,Positive,0.425,0.6166666666666667
Adam Atif,So hype Its already four years,Neutral,0.0,0.0
Akshat Jaiswal,4 years later trailer still makes HYPED see,Neutral,0.0,0.0
Terrence Blacksmith,still get goosebumps the max every month come back JUST watch hear trailer writing out Im listening it gave hardcore goosebumps,Neutral,0.0,0.0
Evan Roldan,2022 its still best trailers ever,Positive,1.0,0.3
Felix Larios,4 years later still feels like it came yesterday,Positive,0.0,0.0
