name,comment,sentiment_type,polarity,subjectivity
WRESTLING STAR-WWE,Dil se shukriya Harry sir love u 3000,Positive,0.5,0.6
Asad Atta,Alhamdullillah Started My Python Journey this 12 Hours Course Thank Dear Sir Harry,Positive,0.0,0.0
Punit Kangra,21716 1Write Python program display user entered name followed Good Afternoon using input function sol greeting Good Afternoon name inputEnter name,Positive,0.7,0.6000000000000001
Mohd asif Khan,50520 Weather length characters less 10 characters not code starts,Neutral,-0.16666666666666666,0.06666666666666667
CyberLife,55136 Here solution num intinputEnter the number count 1,Positive,0.0,0.0
Anil Kumar,055130 Loops problem number 3 print multiplication table using loop intinputEnter number 0,Negative,0.0,0.0
Sayyed Abid,Guys lets forget is IITians earn lakhs utilizing time still he takes some time teach people like us free cost also making notes us is also free Hats man mad respect to you,Positive,0.05833333333333335,0.8666666666666667
30 ARBAZ,13741 Square a number n intinputEnter number,Positive,0.0,0.0
Dadhichi Chatterjee,13705 always stayed away any coding classes complexity your way of teaching just great,Positive,0.8,0.75
Muhammad Yousuf Soharwardi,50509 nameinputEnter ur name lenname10 printLess 10 characters else,Neutral,0.0,0.0
Virendra Verma,50525 Q 4 name inputEnter namen iflenname10,Neutral,0.0,0.0
Unique Tech Tutorials,13745 Answer Chapter 2 Practice set inputEnter number inta square a a,Positive,0.0,0.0
Rocker Techs,The guy working hard everyday make learning easy us have never seen a great guy my life You Deserve Millions Subs,Negative,0.18541666666666667,0.68125
sippy sah,Hello sir way teaching just amazing today completed full python tutorial I loved literally thankyou much possible please make video cloud computing AWS would really helpful again thank sir You an excellent teacher,Positive,0.4749999999999999,0.7416666666666667
Prachi Tripathi,Hi Harry chapter 8 Functions always procrastinated learning Python due the fear not able make but come back your tutorial great interest have able solve practice set till I am very thankful you,Positive,0.1875,0.4458333333333333
Aarya Barhate,43358 Greater Thank sir making python possible millions like us,Positive,0.25,0.75
Annihilator,40713 The answer yes according me think can print values arent the same One String the is Integer So they are unique,Positive,0.1875,0.5625
Gautam Kumar Adarshi,Chapter 8 prblm 6 inches intinputenter length Sol inches254 Printlength Sol cm,Negative,0.0,0.0
Jayant Balyan,Yo got innately inherited teaching skills Harry Amazingly happy see Content Management delivery the way connect the audience subtly naturally sheer virtue your refined tutorial skills Impressed Hats Off,Positive,0.6,0.9166666666666666
Fareed Hussain,055230 Multiplication table using loop numintinputEnter number i1,Positive,0.0,0.0
Shamouel Ansari,90418 Honestly speaking is perfect course absolute biggner like im glad u uploaded content like for us thanks,Positive,0.5,0.8
Aditya Jha,60711 Chapter 7 practice set question 10 n int input Enter number,Positive,0.0,0.0
YasirHussain,May Allah bless Bro You doing much hard work teaching high quality content free Thanks Your Efforts Contribution Teaching,Positive,0.11708333333333333,0.5204166666666666
Twinis Giggles,Condition expression practice set Q7 Ch input Enter namen If ch A ch Z,Neutral,0.0,0.0
Mritunjay Lamba,44716 It not mandatory use else statement use for taking output the statement fails otherwise we dont get output the condition false,Negative,-0.45000000000000007,0.44999999999999996
Saurabh Kumar,60712 num intinputEnter number,Positive,0.0,0.0
anshu sharma,was trying learn python since long ago always lost interest python one video i got best video the beginners like your practice set really helpful have completed two chapters my interest still learning python Thats amazing Thank so much Harry teaching us a simple way,Positive,0.325,0.3928571428571428
Aditya Raj,13744 1st Method inputEnter first number,Positive,0.25,0.3333333333333333
Hrushabh Patil,Hello sir way teaching just amazing today completed full python tutorial I loved literally thankyou much possible please make video cloud computing AWS would really helpful again thank sir You an excellent teacher,Positive,0.4749999999999999,0.7416666666666667
Apoorv Nigam,050510 name inputEnter namet iflenname 10,Neutral,0.0,0.0
Prachi Mhetre,The simplest effective python courseloved 90431,Positive,0.6,0.8
Pooran Singh bangari,13740 inputenter number inta S,Positive,0.0,0.0
079_Bahniman Ghosh,Completed Chapter 5 Practice problems41927 Till My experience this Course PYTHON amazed with features are different C C we do many algorithms easily using functions dont need think memory management Thank So much Harry Sir providing a good course absolutely free,Positive,0.37222222222222223,0.588888888888889
Arpan Karmakar,13741 The code inputEnter number be squared inta b aa,Positive,0.0,0.0
ROXANNE Gaming YT,Practice set 2 que 5 Inputenter number inta,Positive,0.0,0.0
Saddam Husain saifi,51300 Q7 practice set textinputenter text saddam str saddam text,Neutral,0.0,0.0
priyansh srivastav,loved q4 practice set ch 2 And solved easily Thanks your explanation sir,Positive,0.44999999999999996,0.5
PSI 99 Gaming YT,50524 name inputEnter name lenname10,Neutral,0.0,0.0
EX evil,50528 Made till Here loving course And dedication put towards and way teach would love donate whatever can upon landing Job,Positive,0.55,0.7749999999999999
angel angel,3306 It my first program python thank sir teaching,Positive,0.25,0.3333333333333333
