name,comment,sentiment_type,polarity,subjectivity
,Here the timestamps To support podcast check our sponsors 000 Introduction 007 Elon singing 055 SpaceX human spaceflight,Positive,0.0,0.1
Brent Gilbert,This the best conversation two robots Ive ever witnessed,Positive,1.0,0.3
Kevin O'Connor,Elon great mood in this Love see this way,Positive,0.65,0.675
Phillip Gregory,dont care optimism pessimismwere gonna get done Great quote,Negative,0.8,0.75
Matthew W,Really appreciate Elon thinks deeply give thoughtful answer,Positive,0.20000000000000004,0.3666666666666667
Human From Conception,Mr Musk been generous his time these interviews Very interesting thanks Lex,Positive,0.42500000000000004,0.42500000000000004
Cindy M.,Two highly intelligent genius gentlemen Such super conversation Ive watching of channels long time Take good care Have a Beautiful Weekend,Positive,0.4388888888888889,0.6777777777777777
,find interviews Elon incredibly frustrating Just shallow questions dont really the mans mind justice This great Good job Lex,Positive,0.1933333333333333,0.59
SAM ARKOH FIT,The way Elon Described human brain works driving absolutely insane Those vivid visual details Painting everything how amazing the brain,Positive,-0.05499999999999998,0.55
COLLINS KIPROTICH,Its incredibly hard interview Elon man That the greatest interview ever You deserve Medal Freedom Lex,Positive,0.35416666666666663,0.7708333333333333
exileinrosedale,Lex You become FAVORITE Interviewer EVER Excellent work shooting the hip challenging Elon like have never seen heard God Bless and thank for YOUR hard work,Positive,0.4270833333333333,0.8854166666666666
Chris Dock,If theres something goes wrong the vehicle fundamentally fault Thats leadership looks like Elon his flaws that right is he had success solving many hard problems,Negative,0.05880952380952379,0.4954761904761905
Path Finder,love Elon really tries find way his wording make monkey brains comprehend he trying say,Positive,0.11666666666666668,0.3333333333333333
T C,Lex Elon two a half hours Dreams come true,Positive,0.09166666666666666,0.4083333333333333
Will Thomas,Finally someone whos smart asking good questions an interview him,Positive,0.30476190476190473,0.7476190476190476
Harshmeet Singh,revisit podcast regularly much wisdom inspiration become useful I often forget seem forget so much unnecessary noise around world,Positive,0.033333333333333326,0.3666666666666667
Lucus Mousteen,The first time seen rockets come back touch Right that moment knew Elon taking us the Moon Mars beyond Thank Elon,Positive,0.17857142857142858,0.2896825396825397
vina prasad,have always loved man Elonfor super intelligence hes fun cares humanity,Positive,0.4444444444444444,0.5555555555555556
Morten Stjernholm,This just best questions ever asked musk Lee are amazing Your undestanding empathy general intelligence shows,Positive,0.55,0.5666666666666667
Keith Remedy,Dare say easily Elons best interview far think this has lot do the fact its Lex the side the table Lex are getting better better this,Positive,0.5066666666666666,0.6266666666666667
Brenden,respect appreciate Elons moments pause think respond way wants damn theres many times thought podcast froze,Positive,0.35,0.3
Kimberly Rasco Orsak,One my favorite Elon interviews,Positive,0.5,1.0
Federico Galimberti,A super interview have understood lot about Elon a scientist entrepreneur in many podcasts,Positive,0.41666666666666663,0.5833333333333333
Rik Vermeer,This the first podcast kinda like thing ive ever sat Gotta say really good interview Thank so much,Positive,0.3833333333333333,0.37777777777777777
kungfu mcgee,Youre favorite guy listen while menial tasks the officethank for the knowledge insight,Positive,0.5,1.0
David Babin,Such insightful podcast filled so much knowledge Very well done overall Lex is best podcast Ive heard yet,Positive,0.3,0.36666666666666664
Roch Brz,love Lex gives Elon time think answering question Elon takes time think answering We need of that,Positive,0.5,0.6
Danny O'Brien,Thanks Lex great interview Cheers Elon coming too,Positive,0.5,0.475
Reinaldo Viccini Gutierrez,A window the mind Elon Musk Amazing,Positive,0.6000000000000001,0.9
sirfer6969,15900 shout to Tim Dodd Everyday Astronaut probably coolest part the podcast terms benefiting others Lex Elon president VP the world,Neutral,-0.2,0.6
native flower pot,You guys make love physics and,Positive,0.5,0.6
xDespo,started hear Elon JRE podcast amazed alhtough really love JRE podcast one a different atmoshpere goes deeper technique concepts I love itwer awesome I subbed,Positive,0.5,0.7
,30 seconds and know is gonna a great episode Thanks Lex,Positive,0.5,0.475
Tracy Sparks,usually listen podcasts making jewelry cannot that yours I find wanting watch really listen carefully I am visual This conversation so enthralling I actually understood of I really appreciate approach guests that you give time need form the answers It refreshing,Positive,0.10833333333333334,0.2916666666666667
Murali,Thanks Lex Awesome podcast The questions great inspiring motivating The answers elon musk amazing love podcast thanks doing,Positive,0.5428571428571429,0.6642857142857144
Dig,Thumbs and subscribed Incredible interview one the finest minds earth Questions Mr Musk willing answer without giving anything away Hearing thought process a privilege Just the top his head,Positive,0.5499999999999999,0.7166666666666667
Michael Fargo,Thanks interview Great interaction the two Ive watched video few times It still makes think Another way saying Elon iterates thinking simple hard Getting the component parts a process to understand simplicity not simple wrote hardware interrupts in assembly language a short time Thinking simple hard Once you get it simple efficient,Positive,0.02166666666666666,0.3861904761904762
Niraj Shah,This by far most favorite podcast ever really loved Peter Wang and also Chris Lattner,Positive,0.45,0.825
xXxno6xXx,Love humble down mars of are,Positive,0.048148148148148134,0.42962962962962964
AllSaints Academy,Such great interviews Musk have huge admiration this manhes beyond measure,Positive,0.4000000000000001,0.7166666666666667
,This Elons best interview well done Lexicon,Positive,1.0,0.3
saftmeister rüffel,14923 This why man gonna succeed despite FUD around look how the richest man the world so polite some random employee thats whats makes authentic hes him bound any CEO like attitude like di,Positive,0.0,0.625
Eric Graham,Man dope interview know people love hate Elon Im fan it really cool see interview a conversation someone he felt comfortable You could tell Lex Elon a really great rapport figure are pretty like minded,Positive,0.25,0.7833333333333333
Adrian Bass5,do far best interviews have ever seen use watch joe Rogan you blunt straightforward well done,Positive,0.4916666666666667,0.5583333333333333
¡nterdimens¡onal ranger,We cant not the spaceships come back spaceships expensive need back E Musk love,Positive,0.0,0.32499999999999996
MadhuRangika,This podcast dissect Elon Muska thought process a raw manner Thank,Positive,-0.23076923076923078,0.46153846153846156
,This upload feels like late christmas present,Positive,-0.15,0.3
Ik Har,Not he said that have ask Engineers He into everything What Genius,Neutral,0.0,0.0
Brett Zimmerman,Love some Elon a genius So many innovations incredible Cant wait see 2022 brings,Positive,0.6333333333333333,0.6666666666666666
Ryan Kartzke,Absolutely fascinating thanks Elon Lex,Positive,0.44999999999999996,0.525
FZM Studio,The final bit this podcast very powerful think of greatest advice insight given Phenomenal podcast Truly fascinating both sides questions answers Loved,Positive,0.5483333333333333,0.8583333333333333
RSL group,Finally watched whole book Id say its extreamly useful watched half hour day coz cant spent much time once There 5 days amazin Im pretty sure Ill come back,Positive,0.06833333333333333,0.47555555555555556
,Great podcast show,Positive,0.8,0.75
Tessa Pou,Love knowledge Elon gives,Positive,0.5,0.6
Saerom Yoon,Long live Technoking Thank Elon Lex,Positive,0.043181818181818175,0.45
Zach S,love interviews lex first podcast saw with elon musk wow blew away see someone age discussing things worry with heavy hitter like elon musk are inteligent articulate well unbiased YOU HAVE ME HOOKED KIND SIR im going back your first podcast intend watch all im schizophrenic these world issues keep night sucks when i hear things these experts moderated gives hope our future a human race thank you and keep up the good work thanks SERIOUSLY Zach midwest usa,Positive,0.13589743589743591,0.43525641025641026
0,Man love Elon Musk Hes great,Positive,0.65,0.675
no time 4 evolving monkeys,What genius Thanks Elon people like Eric Dubay his movie LEVEL pretty inspiring aswell Exciting times ahead forsure,Positive,0.3125,0.75
dunkinvideos,Love relaxed goofy Elon Lex must feel comfortable with our Lexbot 3000,Positive,0.4666666666666666,0.8000000000000002
CHRIS BROESKY,Definitely one best interviews You tell enjoyed Hes missing his Whiteclaw though,Positive,0.325,0.3875
Hristo Mitkov,My vote The podcast the 2021 Such nice surprise the holidays Great timing great topics questions Thank Lex You getting better better man Oss,Positive,0.5333333333333333,0.6666666666666666
Caster Headquarters,Great conversation you How this video received views already Everyone watch interview Elon So much great information advice overall deeper understanding a magnitude topics everyone keep with,Positive,0.5333333333333333,0.5
Varun Nikam,It a great interview loved,Positive,0.75,0.775
Merlien Houwen,That Inspiring Mr Musk great way explaining things even mere mortal such as understood of,Positive,0.2,0.6875
Valeri Donkov,Elon really scary genius insane watch,Negative,-0.75,1.0
Gangadhar Reddy,Absolutely loved great questions Lex,Positive,0.75,0.775
Zahub Shahid,This the laid back relaxed version Elon Ive seen any podcast,Positive,0.0,0.0
James Gonzales,The conversation two is nothing short epic the way compliment other Without doubt would vote you as president vice president between the two you you know should changed make things better how Peace health you both and great show Jim,Positive,0.255,0.465
Pascal,Hey Elon Im german i thank a lot giving the chance work the new tesla gigafactory in germany will my best study the side help change something big Someday ill shake hands you we even for world to safe,Positive,0.18939393939393936,0.3924242424242424
Doug Green,Ive watched 10 timesgreat questions equaled great answers Big fan you,Positive,0.4,0.425
A C,This one the best podcasts Ive heard forever To see Elon enjoying thinking deeply answering hard questions seeing humanity amazing,Positive,0.3616666666666667,0.5483333333333332
Lentax,Thank for Elon The sacrifices will never know pains took possibilities for the hope Im excited us Im excited us humans more of Us Humans Thank sir Thank you,Positive,0.4166666666666667,0.6666666666666666
Wael Bouabda,Elon musk appearing the pod almost often Michael Malice Getting popcorn ready one a banger,Positive,0.2,0.5
Jteach91,First time Ive ever seen let Friedman starstruck Awesome see much appreciates presence sir Elon Musk,Positive,0.48333333333333334,0.5111111111111111
sonia hua,love the best interview have ever watched,Positive,0.75,0.44999999999999996
acedudeism,Elon here help us along remembering we If came hed easily make weapons help protect earth When was sentenced to life earth planet where Ill forever,Positive,-0.033333333333333326,0.9166666666666667
Jtroulston,love fact elon always pauses gathers thoughts he answers,Positive,0.5,0.6
XFORMA,Awesome Vibes Lex Great job Its who try Standup,Positive,0.9,0.875
Andrew Fender,Lex esoteric question literal rocket science Elon indepth answer exploring multiple tangents Lex is love Elon youre asking really perplexing questions,Positive,0.2333333333333333,0.26666666666666666
Sean E Cash,Wow Ive never seen two AI robots a long one one conversations like before Crazy,Positive,-0.18333333333333332,0.7666666666666666
