name,comment,sentiment_type,polarity,subjectivity
,Here the timestamps Please check our sponsors to support podcast 000 Introduction sponsor mentions 536 Metaverse 2536 Identity Metaverse,Positive,0.0,0.0
,The traffic light test got good Well done Lex,Positive,0.55,0.65
No Body,Its weird hearing two AI bots talking the fear death it means nothing them,Negative,-0.5,1.0
Balanced,Mark looks feels natural podcast Kudos the devs working hard bring us this version Mark Cant wait see the next update be like Mark,Positive,-0.0638888888888889,0.3138888888888889
Nicholas B,Fridman Are afraid death Zuckerberg Constraints helpful,Negative,-0.6,0.9
Awoken Entertainment,Havent seen Mark talk a long form discussion like Well done Lex youre breaking barriers,Positive,-0.05,0.4
Tiny Mints,The meta verse marks attempt comprehend social interactions,Neutral,0.03333333333333333,0.06666666666666667
Nefarious Epoch,Lex finally interviewed most advanced robot ever made,Positive,0.3,0.7000000000000001
Steven Lopez,Gotta give props Zuck how expertly danced around social dilemma question,Negative,0.03333333333333333,0.06666666666666667
Sanela Dimitrievski,My words useless meaning that on another level respect you trying do Lex All the best You make look easy,Positive,0.3111111111111111,0.4444444444444445
WEBD,This first time hearing Mark Zuckerberg speak felt like is different the way the media portrays It a pleasure get perspective,Positive,0.125,0.4666666666666667
Jasmine G.,Just getting watch now always appreciate thoughtful questions courage ask difficult questions power Thoughts you There more love the world hate Even those with hate their heart something someone love,Positive,-0.02857142857142858,0.7142857142857143
thatwasprettyneat,feel like Mark zuckerberg treats every conversation interaction like test which hes graded dont feel like ever get response him hes actually expressing opinion instead trying give optimal answer Sono surprises this interview,Positive,0.0,0.1
Dr. Grey,Right the gate the I robot test lmfao Lex a legend,Positive,0.2857142857142857,0.5357142857142857
Bad Dragonite,Fun fact yelling fire crowded theater thing referenced a supreme court decision actually wasnt a supreme court decision law It was stated an opinion a judge involved a case had nothing do it has rebutted endlessly ever since,Positive,0.05833333333333333,0.35000000000000003
Yung Euro,Ive watched every interview favorite 2 Elon mark cant wait till guys come back Id bring them together goin super information Elon plus mark new reality lol lex said the gate 5 hours payed bag get mark here,Positive,0.3539393939393939,0.5642424242424242
,Lex Mark thanks much fascinating deep introspection psychology plus AI how worlds largest social application trying do right thing Despite bumps bad NPS in awhile keep the faith free speech protection toxicity silences voices a good battle defend us as humanity,Positive,0.20238095238095238,0.5148809523809523
Suzanna Porebski,Loved conversation than expected well done,Positive,0.3,0.6000000000000001
MorningWood,This great interview Lex Fridman quite interesting character really enjoyed Mark Zuckerberg let talk thats a sign a good interviewer,Positive,0.625,0.6375
,The devs got be thrilled how human Mark sounds this patch,Positive,0.3,0.39999999999999997
x Midge,This probably going be best PR move Zuckerbergs behalf his whole career It somewhat humanized to degree or AI been upgraded sure,Positive,0.5666666666666667,0.5296296296296296
Liz Gichora,Thank building powerful tool advance positive psychology confronting bullying harassment terrorism cynicism masquerades hate a group whilst promoting SAFETY Constructive criticism great healthy growth human development Thank Mark Zuckerberg Lex Fridman for a fantastic interview AI leadership Love Stronger Death,Positive,0.2409090909090909,0.6619318181818181
Daniel Noonan,dont understand hate man receives What excellent episode Enjoyed pretty much every second it,Positive,0.19166666666666665,0.6333333333333333
Celia Jn Baptiste,Thanks Lex interview am fascinated knowing the Metaverse works,Positive,0.2,0.2
Entirely Honest - My Self-Improvement Journey,Super interesting Podcast Thanks doing and sharing Lex,Positive,0.3444444444444444,0.4555555555555555
Joel Rivera,This a beautiful conversation loved,Positive,0.7749999999999999,0.9
aloks,It fascinating me far weve comefrom AI interviewing humans an AI interviewing AI,Positive,0.39999999999999997,0.925
He Who Shall Remain Genderless,What study irony is Watching career developer AI interact real time crown jewel his field study without every realizing Even questioning the notion outright early and quickly falling victim the assumption Turing test some kind let alone a CAPTCHA define sentience properly this level sophistication,Positive,0.19305555555555554,0.3583333333333334
Jillian Jillian,absolutely love podcast You wonderful informative a gift God,Positive,0.75,0.8
jojokiwi,Two AI bots a full conversation together The future here,Neutral,0.175,0.3375
Cade Dub,After children stopped caring achieving everything encompasses meta must lose greatest human aspects along way this goal is is seemingly happening,Positive,0.5,0.55
Jackie Chan,The first time Mark Zuckerberg been actually have normal conversation someone issues,Neutral,0.13333333333333333,0.3611111111111111
Brian Carpenter,This either going be most human conversation Zuckerberg ever or most robotic conversation Lex,Neutral,0.225,0.325
Donald Mack,Game devs want make cool video game world Mark Zuckerberg want make the world cool video game,Positive,-0.10000000000000002,0.5
fleischwolf82,That great interview really got know he thinks learn they work Congress would better to have such dialogs behind closed doors work collaboratly the nonsense media shows,Positive,0.16666666666666666,0.4583333333333333
Juan Zabala,You keep growing me Lexi love determination never become cynical If theres argument make favor inocence would it,Positive,-0.04999999999999999,0.8
Toryn Gent,Thank for work Lex youre best,Positive,1.0,0.3
Grass Hopper,Listening 2 different AI communicate 2 hours pretty thrilling Its cool living the future,Positive,0.16999999999999998,0.675
mindsurfer101101,This one podcast done for Marks likability any presentation other media hes done ever,Neutral,-0.125,0.375
epic gamer,enjoyed watching fellow human Mark Zuckerberg talk you He seemed have lot common humansobviously he a human all,Positive,0.05,0.35
Garrett Kensler,It fascinating watching two AIs communicate each Their perspective life intriguing well,Positive,0.5,0.625
Goat,Great interview Lex good understanding technical issues amongst things made some really good content you cant really find elsewhere That I think is first time Mark Zuckerberg been actually have normal conversation someone issues ideas isnt media attack in a government hearing,Positive,0.35000000000000003,0.41666666666666674
cbrottler,gained greater understanding FB thank Overall think problems social media arent simplistic we want believe There benefits harms would loved if asked him treating meta all subsidiaries public square would regulate as US least Also use social media forgone concussion Does benefit really outweigh harms think put much emphasis poor communication scientists talking covid sure thats true what optimization algorithms FBs business model based serves content that a person primed that propagates misinformation ones perspective Is freedom speech the information presented people filtered based past behavior Is that good democracy What about your bias in terms AI was left a lot unanswered questions thank the discussion I did gain respect for him I still think the forest had been lost the trees him,Positive,0.0980392156862745,0.3522875816993465
soiled skeleman,wow changed view this guy entirely love way works basic fundamentals of psychology,Positive,0.19999999999999998,0.5750000000000001
The Eccentric Side,The favourite part this episode me the first minutes love Lex real vulnerable Here YouTube post podcast episodes blind content creator I learnt would help show a little emotions stop looking sounding robotic Keep the good work Lex,Positive,-0.012500000000000002,0.5214285714285715
Lou Skunt,Mark the king censorship 0 of 0 stars He gives great disdain a future him it,Positive,0.4,0.4375
Mad Dog Morgan,Absolutely mind blowing far robotics come You would swear two real humans,Negative,0.16666666666666666,0.7333333333333334
MicroTutorials,Great work Lex Introducing perspective This good,Positive,0.75,0.675
jakub gadzala,At time half billion middle class people the globe fell poverty hearing Mark wondering virtual clothing economy got smile,Negative,0.044444444444444446,0.08888888888888889
Eyes Plato,installed morehumanlikeprogram mark great to see technology making progress,Positive,0.8,0.75
WagonWheelsRX8,Very interesting conversation good topics liked thought crowdsourcing whathow moderate follow thoughts idea provoked necessarily specific idea train thoughts formed forming idea stating processing the implications the idea it might come short how to improve the idea in one sequence,Positive,0.325,0.5291666666666667
Urban Aerials,This interview very interesting always thought mark a negative connotation positive still a bad person To see more natural personable an interview changed I previously viewed I think need see more personable media mark maybe could change format his personal posts,Positive,0.09006734006734009,0.45875420875420875
,Wow interview really eyeopening both present state social media the potential future the Metaverse Really really incredible questions Lex engaging answers Mark Zuckerberg,Positive,0.20416666666666666,0.4989583333333333
Hannah Green,Building technology help people interact each How wonderful Thank Mark will pay heed studies prove the isolating detrimental effects social media digital immersion,Positive,0.3444444444444445,0.35555555555555557
Parsell Art,This a wonderful interview Zuckerberg not guarded congress You conducted well am glad he took time use platform explain they go,Positive,0.43333333333333335,0.8666666666666667
Skills of Aesthetics,As Qa have put feature Mark progress the devs work it bit He seems human Definitely bug,Positive,0.0,0.3
Scott Bell,Lex works never unless God bless and grand father sir,Neutral,0.5,1.0
Grim Goudin,For first time see Mark not corperation represents Thanks Lex Thanks Mark Great convo,Positive,0.36250000000000004,0.37083333333333335
,Podcasts the future You actually get know understand a guest instead seeing play truth dare a talk show,Positive,0.0,0.1125
Devon Cutmore,Well said statement start Lex Not sure make through much this interview What heartfelt compassionate intelligent excellent statement Yup I was right didnt last 5 minutes Mark the Narc,Positive,0.29081632653061223,0.6558956916099773
felipe jorge rodrigues Bezerra,Is weird this interview not weird the way Zuckerberg interviews The upgrades mark got awesome Congrats the engineers team,Positive,0.25,1.0
MilkyWay,This best interview Ive seen Mark def looking forward see meta turns especially creative side The ability programmers visualisesee the work they program sounds interesting,Positive,0.8333333333333334,0.6
Anthony,im at 5 minute mark dude im glad are like minds there gives hope please dont ever give i feel like a voice us,Positive,0.5,1.0
Petey Gone Mad Arts,Not gonna say made a Zuckerberg fan boy But definitely look it a lot respect I in past that an awesome interview,Positive,0.25,0.5833333333333334
Video Gangster,ThankYou Sir Your introduction a masterpiece unbinding,Positive,0.0,0.0
Personality Malfunction,You becoming bona fide superstar Seems that long ago stumbled one your earlier interviews focused AI self learning computers score kind guests you only normally see Oprah,Positive,0.19166666666666665,0.7166666666666667
aSpaceGhost,The fact he gives a Captcha test starting interview legendary,Neutral,0.5,0.55
Legally Steal A Bitch,a great conversation,Positive,0.8,0.75
Shadow Snake,Mad respect Lex this one,Neutral,-0.625,1.0
Synthia,What great episode,Positive,0.8,0.75
