author,comment
Mohd Saqib,Please continue python series from beginner to advanced level .
Mohammed Hamzah Ansari,"Shraddha Di, please make a well structured course for Python likewise C++ and Java. We are solely dependent on Apna College for programming language with DSA courses."
Nandini Dhoke,"It was genuinely understandable than other tutorials.
Thank you ❤️"
Ronit Mukherjee,"Amazing tutorial, I skipped directly to understand While Loops and I have to admit you explained it really well! Please make a full series to beginner's to advanced. THANK YOU IN ADVANCE!!!"
Gajanan Shreepad,You guys smashed it ..I never watched any video related to learning for 1 hour but you explained in such way that I failed to pause video in between.  it is really easy to understand. I hope we will get advanced level like this.. Thank you so much
Gaurav Singh Janghel,"Yes, we want a full Machine Learning course using Python soon."
Lawlit 👒,1:17:12 Course Complete thanks for this helpful course I learn many new things in this course.
Praful Domde,Thank u much for making this series hope u continue this series till advanced And the way ur are teaching is damn good  I have seen many videos but i find ur video so useful and informative..
SK SHARMA,"Shraddha, it was a pleasure to listen to you. You are very good teacher as well as very knowledgeable.  
I attended your lecture for the first time and think I understood 90% of it. Keep up up.
My best wishes to you."
Dalip singh,"Hi Apna college.. Amazing content, material, and work you guys are doing. please make a full course of series in python. I would like to thank Shradha for her amazing teaching skills. I got inspired by you and learning to code now."
Rohan Warghade,Please didi continue python series from beginner to advanced level and cover up everything in awesome quality content like your team always do  .
6208 Banavath Pavan,"It's so humble to have a good lecturer like you. You made it too easy to understand. Thank you for this,hope you continue the series."
Granide Gamer,"Thanks a lot didi, you're best teacher ❤,  I have learned java from your most valuable free course. Thank you 😊"
Abhishek Vankar,I think this video is specially made for day before exam. I learned alot in 1 hour. Thanks Aman bhaiya..❤️
Mangesh Ahirrao,This was the best tutorial I've watched in Python. Short and concise. Thanks a lot
Sanat Runwal,"Really great lecture I have not been so productive in programming but due to great effort taken in interaction I felt like I have learnt something.Great work,keep it up"
Hargun Rana,"for the mini project u can just use the eval() on a string:
eval(""2+2"")"
Yash Rathod,"Hii sharaddha di, your giving awesome information on this topic but I was expecting more from you on this topic like lamba function and def function. I want to know carreer path of data scientist and data analyst, so make a video in detail so everyone get benefit out of it."
Somesh,Awesome and detail explanation. Looking forward to be continued python series
sunny,"Thank you so much for making this tutorial, my basics of Python is clear now only because of you guys."
FACTORIOUS WORLD,"Pura lecture itna dhyaan se padha hai jitnna toh college me jakar bhi nahi padta kyuki unko padhate hee nahi aata 
Thankyou
Ho sake toh python for A.I KE LIYE BHI VIDEO BNA DENA PLZ"
Susmita Debnath,"please cover other topics in python like oops, csv files, exception handling etc . Your way of explanation is easy and to the point. It is a humble request to continue with other topics or cover whole concept in python."
Just Moved On,Thank you so much for starting this amazing series of python. I am waiting for this course for a long time.
vikram S,Truly Amazing !! It is very easy to understand when you teach each and every concept. Please make some videos on Advanced Python. I am more interested to learn this language
20_A_Prathmesh Naik,The video was very helpful for quick revision for python. Can you please make a similar video on DSA using python? It'll be very useful. THANK YOU
Mrudula Joshi,What an amazing tutor. Keep teaching 😊
Helix Dynamics,Plz make a complete placement course using Python. Python is the future and understanding dsa in it would be beneficial 🙏😊
more bhushan,"Amazing tutorial, I skipped directly to understand While Loops and I have to admit you explained it really well! Please make a full series to beginner's to advanced. THANK YOU IN ADVANCE!!!"
