author,comment
Monte Monkey,"The hype for this movie was truly a once in a lifetime experience. 

UPDATE: NO WAY HOME IS ABOUT TO BE THE SECOND ONCE IN A LIFETIME MOVIE EXPERIENCE"
Mr. Sus,"Endgame was so legendary that when we watched the movie, we will still come back and watch this trailer."
dasfraan,"If me and my son are rewatching all the MCU movies in the future, I'll let him wait one year between Infinity War and Endgame, just that he can feel the pain i sufferd"
Ritesh K Mondal,I really miss 2019. The hype around this movie. All the emotional goodbyes. So much has changed now
Vauxxey,Endgame was one of those movies that you just had to be there in theaters watching it. No other experience is better than watching it on premiere night. Truly a masterpiece.
Swirling,"Thank you Marvel, Thank You for putting 10 years worth of effort on this. It’s been 2 years and the MCU has evolved to another level"
Gucci Ponk,“God it seems like a thousand years ago” Feels like a thousand years since the hype for this movie Bring me back
you're such a shame,"It's been 2 years going 3 years. And yet, this movie and trailer still gives me chills"
Jane xx,"Watching the premiere of a Marvel movie in the cinema , surrounded by true Marvel Fans, feeling the same emotion, the same hype,....
That just hits different"
MortalZykoGaming,"""Whatever it takes""

This line gives me goosebumps as always..."
why,"This trailer was released on this day 3 years ago. 
I was watching this before going for my exams, came back to home then again watched it several times. Then searched for the trailer breakdown.
Those were the days "
Dylan Smith,"3 years later, this is still one of the best Marvel trailers of all time! Take me back to the hype for this film!"
Crossseye SMITE,"You couldn't accept the end of an era. And where did that bring you?


Back to the trailers."
Apurv Rai,I remember when this movie was released there were no seats available in any theatres for an entire week! I had to wait that long to watch it. I was so excited to see it that I jumped when I got my ticket.
JS_Gaming,"This movie came out in my final year of high school and I used it as a motivation to work hard to pass, by passing 12th grade it was like defeating Thanos. This was an awesome movie!"
Captain_Commenter,"“The world has changed, none of us can go back” 

That hits different knowing no one can go back to experience the feels again of seeing this for the first time"
trolliar,"Once in a while i comeback to these trailers to see how ultra hyped people were for this event. 

Absolutely once in a lifetime."
Tristan Nez,"I literally saw this in theatres 5 times. The crowd was wild each time, cheering during the fights & when everyone came back through the portals. Really enjoyed it. I can watch these films over and over & not get bored."
Ferry PascaLz,"I am grateful that Avengers: End Game was released last year, not this year"
Muhammad Iqbal Aulia Aristide,"I just realized that in this trailer, the ""whatever it takes"" line said by Rogers, Clint, Romanoff, and Stark had been put in order of who had the least to the most painful ending through the movie."
Vicente Lima Lemes,Watching this movie on its release day without ANY SPOILERS was one of the best experiences I had in my life.
Chronos,even after watching endgame 22 times this trailer still hits hard
Some guy,I wish I could go back. Not only to see this for the first time again.... but in general. 2019 was one of the greatest years I ever had.
JACKMIESTER2.0,"its been three years since this trailer came out,and every time i rewatch it like it was the first time,thank you for everything marvel,youve been a real part of our childhood"
Josh KW2,Watching this again made me nostalgic and proud that I experienced 10 years of a cinematic masterpiece that can’t be replicated
2k without any video challenge,It's April 2022 let's see how many legends are watching to this masterpiece ️
Freedom Tompkins,it's hard to believe that this is almost 2 years old already
juiceadanav PS4 Player,Endgame and No way home will always be the 2 best movies in the ENTIRE MCU
Chada Siddhartha Reddy,I miss THANOS so much
Chris willy,"Legends:

Tony Stark
Steve Rogers"
HelixOP,The music still gives Goosebumps after about 2.5 years
Captain_Commenter,"It’s been 3 years, the chills from this trailer shall never leave me"
JasonSwavyy,"this wasn't a movie, it was an experience."
Everything,"Watching this after 3 years
After seeing the movie several times 
Bt still it gives me goosebumps "
Peter Parker,Because of endgame every Feb Mar feels like build ups to hype of endgame in April.  Take me back to wonderful 2019 
Matsuda,This film>entire DC
atuuu._,Bring me back my TONY
Abuzar Ansari,This one never gets old 
,I really miss this movie so much. That time when I watched this movie on theatres with full of people and the crowd went crazy during epic fights.
Altair Ozuna PL Ⓐ,"Realmente épico, EndGame fue un viaje de emociones para mí, oh Dios, parecen siglos, llévame al 2019, quiero revivir las emociones que sentí con este tráiler y película <3."
