author,comment
,Trailer still gives me chills
,Life peaked when this released
Marcal Harrison,Josh Brolin as Thanos was the best decision Marvel has every made in casting. The presence his voice gives the character is ridiculous!
Dinpuia Hauhnar,This is it. This trailer still give me goosebumps after 5 years.
Faraz Ramzan,You know that a trailer is good when it still gives you goosebumps even after almost 4 years
TW Max 65,"No shame at all, this is one of my favorite movies of all time. Definitely better than Endgame imo. Truly truly legendary superhero action, suspense, moments, emotion, everything fans could’ve wanted."
Star Wars Folklore,"Don't get me wrong, Endgame was awesome. But nothing will EVER beat the feeling of seeing Infinity War for the first time."
Paolo Guerrero,Infinity War and Endgame is truly a cinematic masterpiece! Kudos MCU!
🕷SPIDERMAN OFFICIAL 🕸,"KGF - 2 Teaser is waiting to cross this masterpiece trailer (in views etc...)
Rocky Bhai on fire 💥💥💥👑👑👑♣️♣️♣️🤫🤫🤫 
But Avengers can't beat KGF - 2 in likes...🕶🕶🕶"
Manoj R,Who is here after kgf trailer??
Darth Kermit,1:09 always gives me chills
Pankaj Prajapati,Can We Agree That Infinity War is Better Than Endgame.
Yelo,"No matter how many times we watch this trailer, we will always feel THAT hype."
Jude Harrison,It’s crazy this movie came out four years ago. I remember watching it for the first time. It truly was a landmark in cinema history. The way it brought everyone together and let us all share this beautiful thing is something I will never forget.
Akash Dhar,T'chala's dialogue - Get this man a shield 😭❤️ Goosebumps level infinity 😭😭❤️ Miss you cap .
Rhythm Gupta,K.G.F  2  teaser  trailer  breaking  all  records  on  YouTube
John Vincent Osorio,"The hype of a movie like infinity war is once in a life time experience, this movie is so legendary that people come to rewatch it almost 4 years after it's release, still one of the most greatest trailer of all time.💙"
Shriram Pardikar,Be ready Indians on 27th March 2022 For the trailer...It will be breaking all time most viewed trailer on YouTube history!!! 🔥🔥🔥🔥🔥KGF CHAPTER-2🔥🔥🔥🔥🔥Will Beat Infinity War...!!!
Indeevar PS,Infinity War was such a legendary movie that people come to rewatch it's trailer 3 years after its release.
BreadByBread Productions,"still hits so hard 4, almost 5 years later. Can't believe how long it's been"
Gage Whitlatch,Can’t believe it’s been 4 years already. The movies still a masterpiece.
The Alfonso Nation,It’s February 2022. Still coming back. Still covered in chills. This is one of the greatest film trailers in history. For one of the greatest films. I’m privileged to even be alive to live through this era. M C U  FTW!!!! 🔥🏆🌟🎥
Julian Shipp Jr.,"Seeing this movie in the cinema, was  one of the greatest experience ever."
Yamkela Gobeni,"I get goosebumps literally EVERYTIME Thanos walks through that portal.
Can't wait to see what Marvel has in store next"
Amazing Tony,The trailer was amazingly thrilling. The movie was legendary
Mathew Fuda,Hulk is only in the begging of the movie while the trailer shows him in the final battle. They probably edited him in to make it look like he was going to be in the movie the whole time.
P.H.I.L Congure,This trailer was constructed perfectly. One of the best trailers I’ve ever seen
MovieBlizzard,"""There was an idea""
To create one of the best movies in the last century"
Mike Mierzejwski,This trailer was the moment I started viewing the MCU as art and truly something more than just a superhero series. I never imagined how perfectly all the stories would come together… and still do…
Paul Styke,The hype surrounding this movie as it approached opening night was so surreal to me. Saw the trailer and saw it opening night. The atmosphere and energy in the theater is unlikely to be matched within the MCU again. We spent years watching these heros get to this point and after the movie man we were exhausted after that ending. I mean that in the best way because we had no idea what to expect next. It was a good cliffhanger
Joseph C,I love coming back to watch this trailer after all these years.
Franco,This masterpiece never gets old
Mark DC,"When you still remember each line of this trailer

""Im still worthy"""
Kirbo,You guys ever realize how humanity fell apart after this and endgame? 2018-19 was a great time
Leoncoolboy 123,People keep coming back to watch this trailer because this movie was absolutely amazing.
The.Darth.Knight,"When this trailer came out life was just perfect, nothing mattered except for this movie😌"
Debadrit Deb,4 years later this is still a masterpiece
Peter Parker,This trailer still give me goosebumps after 5 years.
Paul Cannizzaro,"“Evacuate the city, engage all defences and get this man a shield.” This scene always gave me chills, but it carries so much more weight tonight!"
CJ Johnson,STILL one of the hardest trailers I’ve ever seen. Still get geeked out seeing this even years later lol
Shay Haffenden,Would do anything to go back and watch this for the first time again
UniversoGraphy,It's unbelievable that this movie was released 4 years ago.. Those were good times..
Shibli Noman Alif,One of the greatest trailer in cinema history. Period.
Aashrith xD,"I am here in 2022.

After 4 years, it still doesent fail to  gives me chills."
u bad friend,"even after the next 12years or more, I'll still be here and be emotional of this legendary masterpiece"
Barça for Life ¤,"If you're still listening to this masterpiece, you've a good taste in movie.

Marvel never let me down."
Steve Rogers,im glad that i was born in the right generation to be able to witness the mcu.
Lukas Meggs,"No Way Home was a blast, but the excitement for Infinity War and Endgame was something else"
The Player,Its been like 4 years but this trailer still gives me goosebumps 💯
INFINITE GAMER,4 YEARS LATER ON THIS MOVIE IS GIVES ME CHILL
YouTube Zone,"When you still remember each line of this trailer



""Im still worthy"""
JockeyField,"in avenger: infinity war, the trailer theme is more chaotic, action packed, and almost discouraging while in avengers: endgame, the trailer theme is more soft, subtle, and hopeful"
DickCheese McGee,Honestly i would trade a fortune just to get that feeling of hype when i saw this and Endgame for the first time
Adam Atif,So hype. It's already been four years.
Akshat Jaiswal,"4 years later, this trailer still makes me HYPED to see it"
Terrence Blacksmith,I still get goosebumps to the max every other month I come back JUST to watch and hear this trailer.. just writing it out as I’m listening to it gave me hardcore goosebumps 😂
Evan Roldan,2022 and it's still the best trailers ever
Felix Larios,4 years later and it still feels like it came out yesterday
Armando Solorio,I'm honestly gonna miss the hype around Infinity War and Endgame. Feels like an experience like this won't happen again.
Tanveer Ahmed,"Even after 4 years, after watching this movie so many times, the trailer still gives me goosebumps. This is why it is Infinity War 🔥"
• volatile,The hype for this was literally nothing short of unthinkable. Unbelievable.
Harsh Asodiya,"2022, i searched this  & feeling goosebumps r/n ❤️"
1.3M views,"After watching this trailer, I got goosebumps just like Peter parker"
Anil Mala,KGF 250
The Wolverine,I remember watching this trailer like 40 times in a row
Hexagon Shorts,Watching this in theaters WAS a once in a lifetime opportunity
raju thapa,""" It's Hard To Forget Someone""
"" Who Gave You So Much To Remember"".

                 - RIP Black Panther 😢🙏"
Ankit Kamal,Watching this after so many years still gives me the chills! One of the best trailer music score ever!
Abhilash Bharadwaj,"Me and my Bois were just telling when is the trailer coming,this was a hype for a lifetime!!"
Carlos Perez Encinia,"I was so hyped for this movie that when I finally watched it, I lost interest in the MCU. THIS is what I wanted to see, and I was totally satisfied"
JB Edits,Best movie of the Marvel!❤️
Ashok Donur,"Marvel infinity war Trailer= 252M+ views, 3.9M likes, 460k comments (4 years)

KGF chapter 2 Teaser=242M+ views, 9.3M likes, 1.3M comments (2 years)"
Isaac Moore,I’m sorry this is the best trailer ever and it’s not gonna get old.
Jon Snow,"Let's all just thanks marvel for making our childhood,teenage and adult years awesome"
Carson Moyer,This was one of the most hyped trailers in history
ARAVIND SASI,"This one never gets old 
Still feels the goosebumps when I saw this first time 
The best trailer from marvel"
