author,comment
WRESTLING STAR-WWE,Dil se shukriya Harry sir ..love u 3000
Asad Atta,Alhamdullillah! Started My Python Journey from this 12 Hours Course... Thank you Dear Sir Harry
Punit Kangra,"2:17:16  1.Write a Python program to display a user entered name followed by Good Afternoon using input() function.
sol: greeting = ""Good Afternoon""

name = input(""Enter a name"")"
Mohd asif Khan,"5:05:20
Weather length of characters is less than 10 characters or not

# code starts here "
CyberLife,"5:51:36
Here is the solution:
num = int(input(""Enter the number: ""))

count = 1"
Anil Kumar,"05:51:30 (Loops problem number 3, print multiplication table using while loop)

a = int(input(""Enter your number ""))

i = 0"
Sayyed Abid,Guys' let's not forget he is IITians and he can earn in lakhs by utilizing his time but still he takes out some time to teach people like us in free of cost and also making notes for us which is also free . 'Hats off to you man' and mad respect to you
30 ARBAZ,"1:37:41
Square of a number :

n = int(input(""Enter the number: "")) "
Dadhichi Chatterjee,1.37.05 I always stayed away from any coding classes because of their complexity but your way of teaching is just great.
Muhammad Yousuf Soharwardi,"5:05:09 name-input('Enter ur name')
if len(name)<10:
     print('Less than 10 characters')
else:"
Virendra Verma,"5:05:25
Q 4
name = input(""Enter your name\n"")
if(len(name)<10):"
Unique Tech Tutorials,"1:37:45 Answer of Chapter 2 Practice set is
a = input(""Enter a number"")
a = int(a)
square = a * a"
Rocker Techs,The guy is working hard everyday to make learning easy for us. I have never seen such a great guy  in my life . You Deserve Millions of Subs 
sippy sah,"Hello sir, your way of teaching is just amazing  today I completed this full python tutorial and I loved it literally.. thankyou so much.. if possible please make a video on cloud computing and AWS ..it would be really helpful once again thank you sir ... You are an excellent teacher."
Prachi Tripathi,"Hi Harry, I am at chapter 8: Functions. I always procrastinated  learning Python due to the fear of not being able to make it but I come back to your tutorial with great interest. I have been able to solve all practice set till now. I am very thankful to you!"
Aarya Barhate,"4:33:58 Greater!
Thank you sir for making python possible for millions like us!"
Annihilator,4:07:13 The answer is yes according to me. I think we can print both the values because they aren't the same. One is String and the other is Integer. So they are both unique.
Gautam Kumar Adarshi,"Chapter 8 prblm 6 
inches = int(input(""enter length""))
Sol= inches*2.54
Print(""length is"", Sol, ""cm"")"
Jayant Balyan,"Yo have got innately inherited teaching skills Harry !!! Amazingly happy to see your Content Management, delivery and the way you connect with the audience so subtly and naturally, by sheer virtue of your refined tutorial skills. Impressed and 
Hats Off !!!!"
Fareed Hussain,"05:52:30
Multiplication table using while loop
num=int(input(""Enter number: ""))
i=1"
Shamouel Ansari,"9:04:18 Honestly speaking, this is the perfect course for absolute biggner like me im glad that u uploaded a content like this for us thanks"
Aditya Jha,"6:07:11
Chapter 7 practice set, question 10

n = int ( input ( “Enter the number: "" ))"
