author,comment
,"Here are the timestamps. To support this podcast, check out our sponsors below.
0:00 - Introduction
0:07 - Elon singing
0:55 - SpaceX human spaceflight"
Brent Gilbert,This is the best conversation between two robots that I’ve ever witnessed.
Kevin O'Connor,Elon is in a great mood in this. Love to see him this way.
Phillip Gregory,"""I dont care about optimism or pessimism.we're gonna get it done."" Great quote"
Matthew W,Really appreciate how Elon thinks deeply to give a thoughtful answer
Human From Conception,"Mr. Musk has been generous with his time in these interviews. Very interesting,  thanks Lex."
Cindy M.,Two highly intelligent genius gentlemen. Such a super conversation! I’ve been watching both of your channels for a long time. Take good care and Have a Beautiful Weekend!!!️🇺🇸
,I find most interviews with Elon incredibly frustrating. Just shallow questions that don’t really do the man’s mind justice. This was great. Good job Lex.
SAM ARKOH FIT,The way Elon Described how the human brain works when driving is absolutely insane . Those vivid visual details . Painting everything and how amazing the brain is .
COLLINS KIPROTICH,It's incredibly hard to interview Elon man .That was the greatest interview ever .You deserve a Medal of Freedom Lex
exileinrosedale,"Lex - You have become my FAVORITE Interviewer EVER! Excellent work on shooting from the hip, challenging Elon like I have never seen or heard. God Bless you and thank you for YOUR hard work!"
Chris Dock,"""If there's something that goes wrong with the vehicle, it's fundamentally my fault."" That's what leadership looks like. Elon has his flaws, but that right there is why he has had success in solving so many hard problems."
Path Finder,I love how Elon really tries to find a way with his wording to make our monkey brains comprehend what he is trying to say
T C,Lex and Elon for two and a half hours. Dreams do come true!
Will Thomas,Finally someone who's smart asking good questions for an interview with him
Harshmeet Singh,"I revisit this podcast regularly, so much wisdom and inspiration to become useful (which I often forget seem to forget with so much unnecessary noise around the world)"
Lucus Mousteen,"The first time I seen those rockets come back and touch down, Right at that moment, I knew Elon was taking us to the Moon, Mars and beyond!
Thank you Elon."
vina prasad,I have always loved this man (Elon)for his super intelligence & he’s fun and cares for humanity.
Morten Stjernholm,"This is just the best questions ever asked to musk.  Lee, you are amazing! Your undestanding,   empathy and general intelligence shows!   you"
Keith Remedy,"Dare I say that this is easily Elon’s best interview by far. I think this has a lot to do with the fact that it’s Lex on the other side of the table. Lex, you are getting better & better at this too"
Brenden,"I respect and appreciate Elons moments of pause to think and respond the way he wants, but damn there’s so many times I thought the podcast froze ️"
Kimberly Rasco Orsak,One of my favorite Elon interviews... 
Federico Galimberti,A super interview. I have understood a lot more about Elon as a scientist/ entrepreneur than in in many other podcasts
Rik Vermeer,"This is the first podcast kinda like thing i've ever sat through. Gotta say, really good interview. Thank you so much "
kungfu mcgee,You’re my favorite guy to listen to while doing menial tasks in the office..thank you for all the knowledge and insight
David Babin,Such an insightful podcast filled with so much knowledge. Very well done overall Lex this is best podcast I've heard yet.
Roch Brz,"I love how Lex gives Elon time to think before answering the question, and that Elon takes time to think before answering.

We need more of that."
