author,comment
,"Here are the timestamps. Please check out our sponsors below to support this podcast.
0:00 - Introduction & sponsor mentions:
5:36 - Metaverse
25:36 - Identity in Metaverse"
,"The traffic light test got me good. Well done, Lex"
No Body,"It's weird hearing two AI bots talking about the fear of death, when it means nothing to them."
Balanced,"Mark looks and feels more natural in this podcast. Kudos to the devs working hard to bring us this version of Mark. 

Can't wait to see what the next update will be like for Mark!"
Nicholas B,"Fridman: Are you afraid of death?
Zuckerberg: Constraints are helpful."
Awoken Entertainment,"Haven't seen Mark talk in a long form discussion like this.. 
Well done Lex - you're breaking barriers!"
Tiny Mints,The meta verse is mark's attempt to comprehend social interactions
Nefarious Epoch,Lex has finally interviewed the most advanced robot ever made.
Steven Lopez,Gotta give props to Zuck on how he expertly danced around that social dilemma question.
Sanela Dimitrievski,"""My words are useless here"" the meaning to that is on another level. I respect what you are trying to do Lex. All the best. You make it look easy."
WEBD,"This was the first time when hearing Mark Zuckerberg speak, I felt like he is very different than the way the media portrays him. It was a pleasure to get his perspective."
Jasmine G.,Just getting to watch this now. I always appreciate your thoughtful questions and courage to ask the difficult questions to those with power. Thoughts with you. There is more love in the world than hate. Even those with hate in their heart have something or someone they love.
thatwasprettyneat,"I feel like Mark zuckerberg treats every conversation or interaction like a test on which he’s being graded. I don’t feel like I ever get a response from him where he’s actually expressing his opinion, but instead trying to give the optimal answer. So...no surprises from this interview."
Dr. Grey,"Right out the gate with the ""am I a robot test"" lmfao Lex is a legend"
Bad Dragonite,"Fun fact: the ""yelling fire in a crowded theater"" thing he referenced as a supreme court decision actually wasn't a supreme court decision, nor was it law. It was stated in an opinion by a judge involved with a case that had nothing to do with it, and has been rebutted endlessly ever since."
Yung Euro,I’ve watched every interview my favorite 2 is Elon an mark 👌🏿 ✅ can’t wait till these guys come back I’d bring both them together to goin super information Elon plus mark = new reality lol 😂 lex said out the gate we here for 5 hours I payed a bag 💰 to get mark here 💯
,"Lex and Mark, thanks much for the fascinating and deep introspection on psychology plus AI and how the world's largest social application is trying to do the right thing.  Despite the bumps of bad NPS once in awhile, keep the faith and free speech with protection against toxicity which silences voices is a good battle to defend for us all as humanity.  🙂"
Suzanna Porebski,Loved this conversation… more than i expected… well done
MorningWood,"This was a great interview. Lex Fridman is quite the interesting character!

I really enjoyed how Mark Zuckerberg let him talk; that's a sign of a good interviewer!"
,The devs have got to be thrilled with how human Mark sounds in this patch.
x Midge,This is probably going to be the best PR move on Zuckerbergs behalf of his whole career.  It somewhat humanized himself to a degree… that or the AI has been upgraded not sure
Liz Gichora,"Thank you for building a powerful tool to advance positive psychology; confronting bullying and harassment,  terrorism, and  cynicism which masquerades as hate for a group, whilst promoting SAFETY.  Constructive criticism is great and healthy for growth and human development. Thank you Mark Zuckerberg and Lex Fridman for a fantastic interview on AI leadership. Love is Stronger than Death"
