author,comment
,"Thanks for checking out this unboxing, my SIM's already in the A53, full review coming next week! So what do you reckon? Diamond or dud?"
Daphne Baje,"Dang that performance test was really dissappointing for Samsung. If they're gonna bust out a new midrange to replace a great previous gen, they should always maintain/upgrade. Never downgrade!"
Mushrif Ahmed,"I went for the A52s 5G. Because compared to the A53, the A52s has a better Processor, a headphone jack, and it comes with a charging brick. They're both the same price (in my country). So the A52s is clearly the better option in my opinion."
Badr Khiyat,"When I first heard about the A53 5G, I considered upgrading. But when I heard it would feature an Exynos processor, I went for the more affordable and more capable A52s 5G."
Nicky Janssen,"Thx for the review! I recently went for the A52s 5G. Seemed a much better deal to me. Only thing the A53 has going for it, is the longer software support... Not really an upgrade worth the extra $ IMHO (CPU wise even a downgrade = WTF Samsung?)."
pshnd,I got a Samsung Galaxy A52s 5G thanks to your review and now I'm looking and this and can't hide the feeling that this is kind of a downgrade.
Mary Mitchell-Stewart,"Actually just ordered this one. My first Samsung! I'm excited! Love your personality and video! While many are implying this isn't the best Samsung, for my first Samsung it definitely seems decent!"
Quentin TAURIAC,I feel like all smartphones released in 2022 are less powerful than previous generation. Kinda disappointing tho :/
wcked,"Samsung trolls apple for removing headphone jack, charger from the box and then do the same. It's a shame they don't provide a charger with a mid ranger."
Sigmaster40,"Just acquired an A52S 5G. Using it for several days and very happy. Much better than my A50, which was a great phone, but slow response at times, which was getting irritating. My new phone has a head phone jack, which is the main reason I did not bother with the s21 or s22. I use the jack daily at work. The smaller display size of the  s21/s22 and price were also a good reason not to buy. "
M M IRL,"THIS IS A GREAT PHONE BUT HAS MANY PROBLEMS: I returned it back to Amazon due to defects after having and using it for less than week: 1) the charging port would not hold the charging cord plug after a 3 days. The port wore out. I tried many different cords and brands but the port is a low quality design/build. 2) 120 hertz frequently freezes bc the processor is not fast enough to handle the speeds especially if using a high speed internet signal/connection. 3) there is no haptic touch using google phone app even though there is a setting for it. Touch dialpad sound works but again not haptic. 4) speakerphone is too low (volume control is no help) to hear outside. Inside a room, speakerphone is adequate but not outside. However, media speakers are loud inside and outside, for example watching YouTube vids. The only good or great thing about the phone is the battery life and screen quality resolution. Absolutely,  not worth $450. Even at  close to or just under $300 I would not buy it. $200 maybe. So Buyer Beware. FYI, I wrote the same review on Amazon (verified buyers) as I have written here."
Arnas Danusas,"Thanks for the review! Been looking to upgrade for a while, and am torn between the Pixel 6 and the A53, which one would you recommend? My priorities are battery life and a good camera."
Neehal,"Hey, great video! I saw in a review that there's frame rate drops from 120Hz mode in general use and feels a bit laggy. Was is the same for your case?"
CB21,"Hi Chris,
Lovely video. However, I would like to request you make a video about a comparison between A53 and S21 FE. Even just your recommendation is appreciated as both the phones are on the affordable range. Thank you!"
Vanida Kotimanusvanij,"I have the Samsung a52 for 2 years and I love the camera. Quality is great. A lot better than my iphone 7 plus I had, camera sucked."
Andrew Marshall,"That Exynos 1280 is a deal breaker, its a big downgrade on last year's model. Much better deals than this around"
Kent,"I appreciate you Tech Spurt. Your videos are informative as always, and very helpful.

Greetings from Sweden."
Wyatt Partridge,"Kicking it with a Galaxy S20+ with 12GB RAM, Snapdragon 865, Micro SD support. Never happier. Nearly no compromises, downgrades or questionable feature omissions (other than the 3.5mm headphone jack RIP)"
