author,comment
ajeet singh,Sir make a complete series for freelanceing and earn money through coding👍
Anil Sundar,I respect your dedication to teach the naive graduates who have no one to look upto. Awesome content and awesome energy. Thanks a lot Harry !
Anshika Paliwal,"Understanding API was like debugging a long lost code that you built ages ago, until I came through this. Amazing way of explanation Sir."
funky boy,"He is actually a real coder , in my opinion
Bikwaayi + book karvaayi = bookwaayi
He is coder by heart , restep bro !!!"
Jai Lodwal,"You are truly awsum tutor and educator.. your voice , your way to teach  are like Prashant Dhawan sir of StudyIQ/World Affairs channel.. keep going Harry bhai"
David Miller,"I love this lad, the way he teaches with passion and imparting knowledge, kudos buddy"
Chanchal Tomer,"Hey Harry , your video was really interesting and helpful. Please make similar on API with postman and Rest Assured API."
Exol,I was literally waiting for this kind of video on API...i really wanted to know how it works....i think Harry Sir is angel in the world of programming....thank you sir
Aditya Sagar,I loved the fact that u didn't cared about the looks while teaching 😂.....its another level of coolness
Sreekanth Reddy Ennam,Excellent demonstration with the relevant live examples. Any layman can understand easily!
Aryan Srivastava,I really can't see any active youtube channel like him who is helping us so much for our future
Umar Hasnain,About 50k views in a day in an educational video. That says enough of this teacher. He is just great than the conventional teachers.
Piyush Gupta,"Bhaiya, it's a humble request. 🙏
Please start a series containing class 12 boards IP content . We want to level up our marks with you. ❣️"
Vijaykumar Choukimath,"Wow, brother! Am writing this comment while I am not even halfway through this video. Such a unique way of explanation, haven't seen any professor like you, Kudos."
UX Ninja,"Hi Harry , I came accross your channel recently and love the way you are explaining things, just amazing. 
Do you know flutter SDK aswell? and do you plan to do videos on that?"
saveplanet,"Such people are enabling their citizens to move forward. Very nice Harry, keep imparting quality education .👍"
Gurutej,Very well explained 👌👌..your new subscriber..☺️...I am new in programming/IT field...Can you please make video on 'solr'? And is there any connection between solr and API?
Rajesh Chopra,Beautifully explained. Could you make one on SOAP Vs. REST and their appropriate use
Maisam Abbas,You are literally the best programming tutor on Youtube.
Milind M,Loved the way u explained with reality examples. Just amazing
Abhey Gupta,Never saw anyone explaining so easily. Hats off to you sirrr
dynamitewarrior,"Yaar Harry Bhai kamaal kar dia. I randomly landed on your videos and now I'm hooked. Love your teaching style, enthusiasm and knowledge. I don't even have a laptop/pc lekin Ive started watching your videos and feel motivated and I find it easy to understand what you teach. Thanks for your contribution bro. Keep it up."
paresh menge,Providing information in too easy way. Love to watch and learn from you bhai.❤️❤️
Rahul Chauhan,"Person like me who learn stuffs by relating with real life example
...Need a Guider like You...Thanks Bro for this explanation !!"
YourBestie,"Bro we all need a video about ur education,passion..ur journey towards utube... And at last about ur secrets to learn coding like a boss"
Ishaan Pandita,"Thank You Harry Bhai!!!!! I have learnt so much from your videos! I am currently learning from your C++ Playlist, and am able to understand your explanations thoroughly. Thank you for helping all of us so much! All the best for the future!!!"
incessant toil,Very blessed to have people like you..🧚‍♂️ thank you for all the superb ...practical topic...where we are burried in the theory....only...theory ..only theory....only theory ONLY THEORY....ONLY...THEORY bcz of educational system..😔
Bodhisattva Dasgupta,"Dude, your explanation is AWESOME !! No doubt you are at a 1.5M+ subscribers. Keep the good work going."
S C,You are hilarious Harry !  You are too good 👍👍. I loved watching your class and understood very well 🙏🙏
Taimoor,"Hello !
I am pleased after clearing all My concepts of API.... I am Really Thankful To you Harry. I want To ask. I am Amazon Seller. I want to learn Amazon SP-API. For this Which language should i learn ??? Python Or Java ??Sir Your Answer Will be highly Valuable For me.......I am Still learning Python..."
Vincent Thakur,"Thank you, I really like the examples used in the clip, Thank you so much for explaining in such a easy way."
Jenisha Nadiyadra,"Wao what a great and easy way of explanation, we most people need people like you for explanation with real life examples. 
Thanks a lot for sharing a wonderful information."
Gajendra Pal Kaushik,"See the video about API, don't just get carried away just with comments... 😂😂😂Okay ! I am getting too much likes 😂"
NL,im in 10th and i haven't attended a single CS class yet but i already know harry is a better teacher than most in my school
MSD & NSD IT LABS,Hats off to all the hard workers who are giving all the stuff for free. Thank you :)
Mallika,sir plzz complete data structure series . we r waiting for it 🙏
Gidigi satish,Simply amazing way of explaining complex topics. Thank you brother
prince baweja,"Had never  commented on any video yet..
But this tym -  my mind said that I must comment and appreciate your work. 
Great Job man...  Hats off to you..🔥🔥"
Yusra Khalid,"Amazing analogies, great content. Kudos :)"
Viswajit Nayak,I am mesmerized by your teaching method... ...  it is as if my friend is explaining me concepts in a chai - sutta break ... how cool is dat ... keep up the good work bro... :)
Anonymous 1,"Sir i am a college student doing ur java course. I have two questions.
1.) when will you complete this course?
2.) Is this course enough for interviews?"
Rishabh Gupta,"Best explanation of API, clearing all the doubts 👍👍"
Virendra SINGH,"Good explanation but i think there's one more aspect of APIs you didn't mentioned is that.. API can be helpful when you are in any kind of development phase but you don't want to waste your time in some very basic coding, so you request/choose API providers for it. But i think it's just because you didn't wanted to go into deep and you wanted to keep your video simple. Please correct me if I'm wrong at any point."
Rachana A,"I am a UI designer and maine socha API simple bhasha me kitna simple ho sakta hai.... but sahi me video dekh ke mere khudke bi concepts clear hue hai... amazing talent! 
Mushkil topic ko asan kar dia.... 
sirf IT wale nahi... koi bi samajh sakega! "
Nishant,Excellent teaching skills Harrybhai...Thank u so much  4 everything...U r a real HERO of YouTube
George Mendle,Thank You my Programming Teacher and Professor. Please talk about algolia search api with php.  It will help you in your website built with Django.
Shudhanshu bisht,"One more example by me😊read it
Imagine you are sitting at a table in a restaurant with a menu of choices to order from. The kitchen is the part of the ""system"" that will prepare your order. what is missing is the critical link to communicate your order to the kitchen and deliver your food back to your table . That's where the waiter or Api comes in. The waiter is the messenger - or API- that takes your request or order and tells the kitchen - the system - what to do. then the waiter delivers the response back to you; In this case, it is the food."
Nikhil Desai,Simple Explanations with proper knowledge. Thanks Buddy
Shivani Sharma,"I saw many videos to understand api , but didn't get the right answer what api is. But u explained very well and used perfect example to explain. Your videos are so much helpful ❣️. Thankyou so much sir"
Vinay Davda,Salute Harrybhai ! One of the best tutors in the world. Grateful !
Amit Saw,A person with Golden Heart ❤️ with deep dive knowledge. Lots of love. 🙏🙏🙏
Vedang Sardessai,This is just the best explanation for APIs..... Brilliant work Harry bhai :)
Cyborg X,Please continue your machine learning course. Who else wants harry bhai to do this?
she DEcodes,"you are blessed with art of teaching
God bless you ❤
thank you so much😊"
Palak Mishra,The best explanation I could ever ask for. Thank you!!!!!
Jainmiah Shaik,Good to watch your videos with an example but what about REST API ?
Prachi priya,Your way of teaching is really cool it gives feel of coding🔥🔥🔥
Alisha Gupta,Tenk uzz so much😊.  Once upon a time API used to be a very confusing topic to me but one day I watched a video on API made by CodeWithHarry and after that it has always been a very interesting and easy topic for me😌
FRONTRU - Web Tutorials,"This channel should be rearward!

They post tutorial videos for free and without any advertisements! 😍😍😍😍"
B S Mahesh Kumar,"He is the only programmer/coder who is happy on earth by programming or coding. 
Look at him how happy he is and exaggerating stuff in a language that most of his audience can reach his voice and understand it the way it is."
Sachin Bhusal,How did you know we need this video??🔥🔥🙂
saamin raza,Fabulous job... Your explanations were crystal clear... Thanks 🙏
