author,comment
,️ WATCH NEXT - Best Software for Youtubers - https://www.youtube.com/watch?v=dH_GVIVOH6w
Amazing Facts,"H- having 
A- anger
T- towards
E- everyone"
Marko Šćepanović,"If you have hate comments on your videos, keep going. That means you’re on the good way to build your audience."
Wolffy,"Don't feed the troll

That's basically what you should do, and ignore them, because you're awesome!"
RuffFusion,"The best thing to do is don't feed them or give them what they want, walk all over them and just carry on following your passion and doing what you love.

Facebook is the worst place for trolls."
Lil Crafty Nook,"This is SO needed!!  When a well known YTer engages with trolls in his live-streams, I feel it takes away from the others who truly have legitimate questions.  Love your B-roll!"
Al's Action English,"No hate here. Only LOVE - another brilliant video, Nick - you always go above and beyond. "
ShaddyMD,"I don’t really get bothered by haters, but the fact that any person can be so angry to lash out at a stranger unprovoked makes no sense to me. There’s some really cruddy angry trolls with zero sense of respect or decency out there, hiding behind their keyboards. Thanks for this video! Def best to ignore them, they’re not even worth a minute of anyones time or energy."
,"""Unpleasant"" is such a pleasant description!  When I hide someone, I call it ""talking to the wind"". They can talk but no one can hear them but themselves. Love it!"
Super Joe Pardo,"I reply to them with: ""I appreciate you watching and commenting."" I have had several flip their negative, hateful comments around, apologize, and/or keep watching. I actually just released a video where I read many of my negative comments and reply to them more in-depth than just saying ""I appreciate you"". Thanks, Nick for the tip on hiding them from the channel, that is what I came looking for as another way to do deal with the deepest hurt commenters that come to the channel."
,"i love haters , because they care about our channel"
Jess Stanley,"Thanks so much Nick! This came at a good time for me! Noticing more rude people as my channel grows, I HAVE to remember not to take it personally! Thanks for what you do. You helped me to run a better channel!!"
Ivy Phan,"When I just started YouTube I didn't expect to get so many haters because my videos are all sunny and positive

But then I saw an opportunity and made a video calling out those haters, and the video BLEW UP "
Cabin Dweller,"Yes, don’t engage at all! I always wonder why some people do yet they ignore the polite comments."
,Negative comments are a great tool for learning how to improve the content. It's good to know the difference between negative and troll.
Time For Elohim!,"I've had multiple trolls, and I've just started making videos. Great advice Nick!"
,Thanks for this :)
YourInnerWolfe,"Hey Nick, I had just heard about you while searching for this kind of answer. Both being a content creator (and an adult) for some reason I just felt a bit lost on how to deal with this sort of thing even though I already knew how. It never hurts to just be reminded by someone every now and then, so thank you for giving me the morale boost I needed! "
,"Thank you Very Much , Nick"
SummerGalaxyWolf,"I loved your hater skits, Nick! xD They make the video all the more interesting and entertaining! Also, thanks a million for all the advice you put out. You're awesome! :D"
Art by April,This helps I occasionally get unwanted creepy flirty comments now I can just hide them
Icha Ayu,"This video came out at the right moment for me. Received a lot of mean comments recently. Body shaming, threat and even sexual harrassement. It's hard to deal with at first but when I read positive comments it encourages me to create more contents. Thank you Nick!"
Serious Keto,"Thanks for this perspective, Nick. One of the downsides I experience in being very interactive with my channels community is that I wind up reading all the nasty comments. I’ve been called every horrible name, had sexual comments made about my family, had death wished upon me by various means, and been physically threatened. "
Stephen Bahr,“I’ll show him !” That was hilarious  . Yep I’ve got haters that follow me around from platform to platform. . Thank you for the video . Well done 
Boomer Shroomer,It is so hard not to take the mean comments personally. I appreciated your video. Thanks Nick <3
Dine in Psychology,"Hi Nick! Really enjoyed this video and really needed to hear this today. Newer to YouTube and generally, can let most of the troll comments roll off my back but every once in a while one will take me by surprise! You hit the nail on the head, by ignoring negative behavior, it extinguishes it. I’m a therapist and this is so on point— good reminder for me to hear this! : ) Appreciate all the hard work you do. Thank you for your channel!"
Kirky Plays,"The TL;DR of this video is: ""Don't feed the trolls.""

Yup. Still holds true to this day. Even still though, it can be soooo tempting to give them just a nibble at times."
Clay Disarray,"This is such an important issue to cover, Nick - thank you for the tips! Luckily I haven't had any real hate as yet, but realistically I know it'll come one day."
Joe Cox-Autism Vlogger,"Thank you so much for this video, Nick. I really needed this after I was trolled a few months ago on a video I did about what it's like to attend college and have autism. I have an autism diagnosis and the person called me nasty names and said I should kill myself. But--when I learned about the ""Hide Comments from Channel"" feature, it was a true godsend. Thank you, Nick. "
CosmicFlare,"This is exactly the tip I used last year when I had some hate comments. I just hid them so that they don't spook my beloved fans and boy, it worked like magic."
Enneawiring,"Thanks for the video Nick. I love to use ""hide user from the channel"" option on haters and trolls, it's an amazing feature to deal with them! Keep it up!"
Rudrajit Das,"Watching after 2years of uploading, but still relevant and will remain so. 
Thank you for uploading such a  content. Really needed for youngsters nowadays when our every comment is replied with a bully, religious hate speech or by using slang against our mothers. And That creates mental stress for us. Thank you man for solving these issues."
