name,comment,sentiment_type,polarity,subjectivity
Mohd Saqib,Please continue python series beginner advanced level,Positive,0.4,0.6
Nandini Dhoke,It genuinely understandable other tutorials Thank,Positive,0.1375,0.4375
Ronit Mukherjee,Amazing tutorial I skipped directly understand While Loops I admit explained really well Please make full series beginners to advanced THANK YOU IN ADVANCE,Positive,0.32999999999999996,0.53
Gaurav Singh Janghel,Yes want full Machine Learning course using Python soon,Positive,0.35,0.55
SK SHARMA,Shraddha was pleasure listen you You very good teacher well very knowledgeable I attended lecture the first time think I understood 90 it Keep up My best wishes you,Positive,0.59,0.42833333333333334
Mohammed Hamzah Ansari,Shraddha Di please make well structured course Python likewise C Java We solely dependent Apna College programming language DSA courses,Positive,0.0,0.0
Dalip singh,Hi Apna college Amazing content material work guys doing please make full course series python I would like thank Shradha her amazing teaching skills I got inspired you learning code,Positive,0.5166666666666667,0.7833333333333333
Rohan Warghade,Please didi continue python series beginner advanced level cover everything awesome quality content like team always,Positive,0.7,0.8
6208 Banavath Pavan,Its humble have good lecturer like You made too easy understand Thank for thishope continue series,Positive,0.3111111111111111,0.6111111111111112
Abhishek Vankar,I think video specially made day exam I learned alot 1 hour Thanks Aman bhaiya,Positive,0.2785714285714286,0.3857142857142857
Mangesh Ahirrao,This the best tutorial Ive watched Python Short concise Thanks lot,Positive,0.325,0.35
Sanat Runwal,Really great lecture I not so productive programming due great effort taken interaction I felt like I learnt somethingGreat workkeep up,Positive,0.4916666666666667,0.625
Yash Rathod,Hii sharaddha di giving awesome information topic I expecting from on this topic like lamba function def function I want know carreer path data scientist data analyst make video detail everyone get benefit of,Positive,1.0,1.0
Somesh,Awesome detail explanation Looking forward be continued python series,Positive,1.0,1.0
Gajanan Shreepad,You guys smashed I never watched video related learning 1 hour explained such way I failed pause video between is really easy understand I hope will get advanced level like Thank you so much,Positive,0.0888888888888889,0.47222222222222227
sunny,Thank so much making tutorial basics Python clear only of guys,Positive,0.10000000000000002,0.5277777777777778
Susmita Debnath,please cover topics python like oops csv files exception handling etc Your way explanation easy point It a humble request to continue other topics cover whole concept python,Positive,0.07708333333333334,0.5020833333333333
vikram S,Truly Amazing It very easy understand you teach and every concept Please make videos Advanced Python I more interested learn language,Positive,0.46266666666666667,0.7
Mrudula Joshi,What amazing tutor Keep teaching,Positive,0.6000000000000001,0.9
more bhushan,Amazing tutorial I skipped directly understand While Loops I admit explained really well Please make full series beginners to advanced THANK YOU IN ADVANCE,Positive,0.32999999999999996,0.53
Sandeep Dangi,I love way teach madamIt wonderful experience learn youpls continue advanced leveladvpythoncourse We always thankful to you,Positive,0.6333333333333333,0.7333333333333334
Saurabh Nemade,Thank You Mam coversing much topics such short time video easy go in quick glance A big thanks Apna College well,Positive,0.16666666666666666,0.37619047619047624
Bhagyesha Khairnar,The video awesome A video Machine Learning Artificial Intelligence would really really appreciated,Positive,0.20000000000000004,0.7000000000000001
Lawlit 👒,11712 Course Complete thanks this helpful course I learn many new things this course,Positive,0.2340909090909091,0.38863636363636367
Surjeet Raghuwanshi,Your explanation very easy understand thanks your creation,Positive,0.3816666666666667,0.6
Shovon Kumar Ray,Thanks the tutorial keep uploading impactful lessons concerned this,Positive,0.2,0.2
Ashutosh Kumar Tiwari,This video awesome seriously cover a best way with best quality content Trust Im commerce background Im learning python my career upgradation when Im watching video I feel like Im IT Background Good work team please make one video you cover python beginning advance Thank You,Positive,0.6733333333333335,0.5733333333333334
064_ Saikat Banerjee,Seriously maam a great video beginners python language please continue series,Positive,0.23333333333333336,0.7083333333333333
Praful Domde,Thank u much making series hope u continue series till advanced And way ur teaching damn good I seen many videos i find ur video useful informative,Positive,0.42000000000000004,0.38
Vidhan Rathore,Thank so much the whole team making amazing course us,Positive,0.3333333333333333,0.5
SRISHTI SINGH,Didi have taught amazingly cleared my concepts such less time Please upload videos oop concept machine learning concept will very helpful,Positive,0.15833333333333338,0.44166666666666665
Aditya Jena,Shradha dii I learnt lot this video It really helpful me Also please make parts this video regarding all need learn next Thanks,Positive,0.13333333333333333,0.13333333333333333
Arsh Narula,Thanks lot learning much you maam way teaching amazing,Positive,0.3333333333333333,0.43333333333333335
Utkarsh Dubey,Maam way teaching outstanding I learned basic concept python just 15 hrs Unbelievable Thanks your teaching,Positive,0.1125,0.55
siddhartha lele,Amazing Tutorial THANK YOU SO MUCH Please create more like,Positive,0.43333333333333335,0.5333333333333333
sonam mishra,1st time watched then 1 hour videos one sitting also feeling boor a great teaching method Humble Request make vidoes python basic advance,Positive,0.20000000000000004,0.425
Yogesh Noob,Please continue python series cover development concepts,Positive,0.0,0.0
Mr. Vizel,Di loved ur effortu r really a great work Its really helpful me,Positive,0.5666666666666667,0.5833333333333334
Mohammad Zaid,Didi youve explained python well please make series python beginner advanced level videos really helpfull,Positive,0.30000000000000004,0.4
Adarsh,Actually I from non IT background doing DATA SCIENCE course This video really helped a lot understand basics a quick shot Thank,Positive,0.17777777777777778,0.26666666666666666
Yash Vardhan,Great Work Keep up Even college lecturers cant teach good,Positive,0.75,0.675
Malhar Patel,Omg didiii dont even an idea much help youve made me creating course free Im school right and taken cs my cs teachers tuning isnt working me aapke sath boht acha laga,Positive,0.29523809523809524,0.5119047619047619
Hima nsh,Apna College Hey No doubt great course I wondering this sufficient Scripting Python do need learn advanced things be able write own scripts,Neutral,0.5750000000000001,0.74375
Shruthi rao,Shraddha di way teaching such pleasant smiling face makes evrything easy learn Thank for ur efforts,Positive,0.38888888888888884,0.7666666666666667
Muhammad Saqib Shah,Ive done of It wonderful Fabulous Thanks teaching us,Positive,0.5333333333333333,0.7333333333333334
Ashutosh Kalia,At 2324 u actually made difficult students instead converting sum variable string typeu instead use comawhich would give result,Negative,-0.25,0.55
Arshpreet Singh Bedi,u plz consider giving outputs also noteswould pretty much helpful imagine grab everything,Positive,0.225,0.6
EliteTarunYT,Love thanks teaching making learn easily Forever grateful you mate xD,Positive,0.37777777777777777,0.5444444444444444
Vishal Rai,amazing we need advance version this course please continue,Positive,0.6000000000000001,0.9
Talha Raheel,amazing tutorial your teaching style so good I wish can make video to python,Positive,0.65,0.75
