name,comment,sentiment_type,polarity,subjectivity
Nick Nimmin,WATCH NEXT Best Software Youtubers httpswwwyoutubecomwatchvdHGVIVOH6w,Positive,0.5,0.15
Amazing Facts,H A anger T towards E everyone R reaching S success Who agrees it,Positive,-0.19999999999999998,0.1
Marko Šćepanović,If have hate comments videos keep going That means youre the good way build your audience,Negative,-0.050000000000000044,0.75
Wolffy,Dont feed troll Thats basically you do ignore because youre awesome,Positive,1.0,1.0
RuffFusion,The best thing do dont feed or give want walk over carry following passion and doing what you love Facebook the worst place trolls Great One Nick,Positive,0.26,0.55
refa kashiki,love haters they care our channel,Positive,0.5,0.6
Super Joe Pardo,reply appreciate watching commenting have several flip negative hateful comments around apologize andor keep watching actually released video I read many my negative comments reply them indepth just saying I appreciate Thanks Nick tip hiding them from the channel is I came looking as another way do deal the deepest hurt commenters come the channel,Negative,0.016666666666666673,0.26666666666666666
ShaddyMD,dont really get bothered haters the fact any person be angry lash at stranger unprovoked makes sense me Theres really cruddy angry trolls zero sense respect decency there hiding behind keyboards Thanks this video Def best ignore theyre even worth minute anyones time energy,Positive,-0.07500000000000001,0.5499999999999999
Stephanie Marie,Unpleasant such pleasant description When hide someone call talking the wind They talk no one hear but Love,Positive,0.14583333333333334,0.7541666666666667
Lil Crafty Nook,This SO needed When well known YTer engages trolls his livestreams feel takes away the others truly legitimate questions Love Broll,Positive,0.5,0.6
Al's Action English,No hate Only LOVE another brilliant video Nick always go and beyond,Positive,0.45,0.875
Ivy Phan,When just started YouTube didnt expect get many haters my videos all sunny positive But saw opportunity made video calling those haters video BLEW UP So I used the money get new gaming keyboard Not I hid I utilized to squeeze a few extra bucks,Positive,0.13272727272727272,0.34
Jess Stanley,Thanks much Nick This came good time Noticing rude people my channel grows HAVE remember to take personally Thanks what do You helped me to run a better channel,Positive,0.25,0.3833333333333333
Will Paterson,Thanks this,Positive,0.2,0.2
Cabin Dweller,Yes dont engage all always wonder some people yet ignore polite comments,Negative,0.0,0.0
Time For Elohim!,Ive multiple trolls Ive started making videos Great advice Nick,Positive,0.4,0.375
ManthanHub,Thank Very Much Nick,Positive,0.26,0.26
SummerGalaxyWolf,loved hater skits Nick xD They make video interesting entertaining Also thanks million all the advice put Youre awesome D,Positive,0.58,0.64
Serious Keto,Thanks this perspective Nick One downsides experience being interactive channels community wind reading the nasty comments Ive called every horrible name sexual comments made family death wished upon by various means been physically threatened And nailed when said that Ive allowed the trolls pollute my mind screw my day Your perspective this be my new mindset Thanks,Negative,-0.12045454545454545,0.5413419913419913
Joe Cox-Autism Vlogger,Thank so much video Nick really needed this after was trolled few months ago video did what like attend college have autism have autism diagnosis the person called nasty names said should kill Butwhen learned the Hide Comments Channel feature was a true godsend Thank Nick,Positive,-0.09000000000000001,0.43
CZsWorld,Negative comments a great tool learning improve content Its good to know difference negative troll,Positive,0.22499999999999998,0.5375
DutyRon,Great video excellent advice As Retired NYPD Detective have said same exact thing the past year Thanks all do,Positive,0.3333333333333333,0.4291666666666667
YourInnerWolfe,Hey Nick had heard searching this kind answer Both content creator an adult some reason just felt a bit lost deal this sort thing even though already knew how It never hurts just reminded someone every and so thank you for giving the morale boost needed,Positive,0.35,0.6
SHOUKATH ALI,Stay Positive Spread Positivity Learn Earn Grow Positively,Positive,0.22727272727272727,0.5454545454545454
Boomer Shroomer,It so hard to take mean comments personally appreciated video Thanks Nick 3,Positive,-0.05104166666666668,0.38229166666666664
Stephen Bahr,Ill show That hilarious Yep Ive got haters follow around platform platform Thank for video Well done,Positive,0.0,1.0
Heidi Stevenson,Thank for creating video received first hate comment googled I could and video came Definitely great advice not give what want a response,Positive,0.08333333333333333,0.6611111111111111
Enneawiring,Thanks the video Nick love use hide user the channel option haters trolls an amazing feature deal them Keep up,Positive,0.43333333333333335,0.5666666666666668
CosmicFlare,This exactly tip used last year some hate comments I just hid so they dont spook beloved fans boy worked like magic,Negative,0.12999999999999998,0.6433333333333333
Kirky Plays,The TLDR this video Dont feed trolls Yup Still holds true this day Even still though can soooo tempting give just nibble times,Positive,0.35,0.65
Icha Ayu,This video came at right moment Received lot mean comments recently Body shaming threat even sexual harrassement Its hard deal at first when read positive comments encourages me to create contents Thank Nick,Positive,0.09411719233147804,0.5324288806431664
Paul Peck DrywallTube,Great video Nick Very informative entertaining man,Positive,0.5,0.5833333333333334
Clay Disarray,This such important issue cover Nick thank for tips Luckily havent any real hate yet realistically know itll come one day,Positive,-0.06666666666666665,0.8333333333333334
Craig's Tech Talk,Great video Nick Is definitely hard walk away some the negative comments find almost every time engage end regretting Thanks Nick,Positive,0.10208333333333333,0.4729166666666666
Osloob Modern - أسلوب مودرن,Great advice Thank Nick Ive followed your tips since creation channel they all helpful In last 28 days got monetized all a sudden my channel grew 2K over 20K less 28 days is GREAT also came a bunch trolls I looking the best way deal that you helped once THANK YOU,Positive,0.4055555555555556,0.4055555555555555
Rudrajit Das,Watching 2years uploading still relevant will remain Thank uploading a content Really needed youngsters nowadays our every comment replied a bully religious hate speech by using slang our mothers And That creates mental stress us Thank man for solving issues,Negative,-0.059999999999999984,0.49000000000000005
BroadbandLink Gaming,Its like know struggles Great video nick Also love troll skits,Positive,0.65,0.675
Hoosierback Outdoors,Nicks parenting advice 101 LOVE IT,Positive,0.5,0.6
Real Appeal Gaming Entertainment,havent this problem yet I appreciate words wisdom Nick Good PSA mature content creators,Positive,0.39999999999999997,0.35000000000000003
Dine in Psychology,Hi Nick Really enjoyed video really needed hear today Newer YouTube generally let of troll comments roll my back every in while one take surprise You hit nail the head by ignoring negative behavior extinguishes Im therapist so point good reminder me hear this Appreciate the hard work do Thank for channel,Positive,0.1226190476190476,0.4202380952380952
The Spirit of the Cosmos,Thank Nick watching Brother always say haters trolls mean people need hug shine love unto with Spiritual practice it pops balloon rather quickly,Positive,0.13020833333333331,0.48020833333333335
Art by April,This helps occasionally get unwanted creepy flirty comments I just hide,Positive,-0.25,0.5625
Print On Demand - RJ Martinez,Great video Nick Thank making I literally thinking this for 2020Everyone negative has something mean say is getting blocked,Positive,0.0625,0.6124999999999999
A Horror Writer Plays,Thanks Nick Were working grow a small place already this happen This video super helpful a lot different angles,Positive,0.07083333333333333,0.4666666666666667
Hal’s Guitar Adventures,love perspective this negative part social media Very healthy inspirational Thank for good tips,Positive,0.34722222222222215,0.5527777777777778
Jason Bonnicksen,Thank for advice received first hater critique last night almost want celebrate As former pastor dealing the bleacher critics lot COMPLETELY agree you Im really digging content youre helping reframe channel my growth mentality,Positive,0.11000000000000001,0.2
Dandelion Plaza,Hi Nick Thank making video seeing hate comments towards videos make ruins motivation even make videos thank Nick for this tips,Negative,-0.47500000000000003,0.55
Lori Blye DIY,Absolutely perfect share Nick learned Art Ignoring years ago amazing you dont give any fuel eventually move This video so needed clicked it soon I saw title Have awesome day friend,Positive,0.8666666666666667,0.9666666666666667
Jon Stallings,Thanks Nick info Will launching channel soon implement from the start I also liked you also showed compassion the trolls,Positive,0.4,0.5
Blue kid,Thank for helping usually call haters stupid youre helping get rid my haters because once expose hate comments people start leaving even negative comments thank,Negative,-0.5375,0.6375
DamD젠장Vlog,love video Just started dealing my first haters yesterday LOL This video everything Thanks this,Positive,0.4375,0.4583333333333333
Jose SG,Im my Phd cyberbullying this very good advice thanks Nick love content,Positive,0.5366666666666666,0.5266666666666667
Phienixx,Ive noticed trolls no content their channel Zero They dont the balls put out Its easier hide behind computer device judge people Just like real life real life haters hate you because hate in way They need to do deep inner work,Negative,-0.2285714285714286,0.5238095238095238
Jared MN,Respond constructive criticism they might say something can learn Dont respond trolls they end wasting time,Negative,0.0,0.0
nararabbit1,People are deeply unhappy take out others Even though might get me little bit compassion their misery makes easier let go dont encourage with attention I only imagine itd make more enraged to get pity a mad response,Negative,-0.16874999999999998,0.6833333333333332
Rebollion Station,believe negative comments also important some them great value comes improvements But also agree many people simply want take unnecessarily far rather hitting dislike button also feel is cool give a words hate Why taking effort write Oh was crap rather describe was it crap,Negative,-0.05500000000000001,0.7157142857142857
Armitshu Games,Every time got problem my channel always go back hear tips Worth as stress reliever Tried ignore but is tempting reply to those toxic comments,Negative,0.15,0.05
Midpack Mania,Appreciate video every 5 positive comments get 1 hater tries knock off center Sometimes need hear someone else explain thanks Nick,Positive,0.056818181818181816,0.31136363636363634
Astro,Thanks this video Nick As someone getting few viewers finally of are unpleasant this is quite helpful,Positive,-0.16249999999999998,0.5625
Rennthusiast,This brilliant Loving work do man,Positive,0.75,0.975
Blissfully Random,really enjoy content style present information Thank for helping other creators especially the small ones,Positive,0.0050000000000000044,0.45499999999999996
Miranda Detailing,Such awesome advice Nick Love channel much have learned much help little channel,Positive,0.28541666666666665,0.5000000000000001
Unearthing Stories,Here spread love love channel content do fantastic job have great oncamera personality Best wishes you your channel all watch,Positive,0.64,0.63
aajustjay,Thanks Nick This actually came a good time Its relevant something thats happened my channel appreciate tips always Great content consistently awesome,Positive,0.5166666666666666,0.5916666666666667
N,Hey Nick Hope youre well recently started getting plenty dislikes my videos started wondering maybe I said something video made people hate Do think deep as that is just shallow hate Sorry asking a confusing question like but Im getting depressed I didnt get dislikes EVERY video,Negative,-0.3904761904761905,0.6214285714285713
Ted Mattos,Youre good man Mr Nimmin reminding us even negative people there people are dealing struggles their and engaging doesnt help them I hope someday Ill big enough even GET negative comments LOL Thanks for useful advice,Positive,0.13,0.4600000000000001
Writers Room,This video helped a lot Outside anonymous channel secretly a pretty big following instagram a pretty mean comment kind got me tonight Watching this seriously helped Thank Nick,Positive,0.05677083333333333,0.5630208333333333
Blue Eyed Tech,This honestly favorite video After dealing toxic people my comments will watch video feel better Thanks Nick,Positive,0.39999999999999997,0.5666666666666667
RobbiiChan,Well Nick like read mind right make video Ive actually off YouTube days haters getting Ive actually hoping see someone posts deal haters normally dont get lot its been bad lately the point made feel like even posting been blocking I got Im actually posting a new video In like 30 minutes I learned how deal it video taught Im the better thing showed me that Im mature haters thanks nick Just thought Id let you know Im great YouTube and Im fully confident that Im gonna make it on platform thanks to your advice Thanks,Positive,0.13813852813852814,0.3993506493506494
420 Scene,Yeah sometimes haters get me I trash back hide them from channel Hard just ignore Im getting tired responding the bs comments,Negative,-0.23055555555555554,0.4138888888888889
Shizuko Rose KTK,My sis told no matter theres always someone hates you Didnt understand until reached 10yrs it got clearer using net V,Negative,0.0,0.0
